nama_penulis,rating,teks_ulasan,waktu,likes,sentimen_label_gemini
Joshua Mayong,5.0,"Tempat terbaik untuk beli laptop second. Pilihannya banyak, tempatnya nyaman, dingin dan sangat bersih, laptop juga dalam kondisi yang baik semua. Karyawan yang menjaga sangat informatif dan membantu mencarikan sesuai kebutuhan dan sesuai dengan dana yang dimiliki. 10/10 👌🏻",3 months ago,0,Netral (Error API)
h,5.0,"laptop di sini masi baguss semua kualitas juga oke bgtt, recommend buat yang butuh laptop second like new & harganya yang pasti worth it",2 months ago,0,Netral (Error API)
Monicha Herwinda,5.0,"pelayanan sudah sangat baik, untuk laptop sangat bervariasi dan terlihat seperti baru👍🏻",a week ago,0,Netral (Error API)
Danilo,5.0,"Pelayanan bagus, ramah, tempatnya nyaman, terbaik. monggo kesini",a month ago,0,Netral (Error API)
Realisca Agastha,5.0,"tokonya lengkap, harganya affordable, pelayanan ramah, the best laah pokonya",2 weeks ago,0,Netral (Error API)
Danang Prasetya,5.0,"Pelayanan bagus,sat set semua dijelasin sampai detail. Bakal langganan disini.",2 months ago,0,Netral (Error API)
Putri Anggitasari Husna,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,5 months ago,0,Netral (Error API)
Ahmad Rodhi,5.0,"Pelayanannnya ramah, laptop dengan harga yang sangat terjangkau, dan tempat nyaman juga. Pokoke muantab poolll👌👌",2 months ago,0,Netral (Error API)
Rahmawati Ratnadila,5.0,"Pelayanannnya ramah, staffnya sangat detail menjelaskan semua produknya. Rekomend untuk teman teman yg mau cari laptop kerja atau kuliah. Staffnya akan menjelaskan detail semua laptop yg kita butuhkan",5 months ago,0,Netral (Error API)
Adhie Azzuri,4.0,"Pelayanan nya oke..mas e yg jaga mas e yg punya toko ramah...

Ac e adem tenan mas...",2 months ago,0,Netral (Error API)
Ahmad Nur Aly,5.0,"Toko laptop gaming second recommend di Jogja, unit baru2. Masnya ngasih penjelasan lengkap.
jangan ragu beli di sini.",a month ago,0,Netral (Error API)
Hasna Ningrum,5.0,"Beli laptop disini terbaik, pelayanannya sangat ramah masnya menjelaskan dengan sangat sabar tempatnya juga nyaman. 🌟🌟🌟",a month ago,0,Netral (Error API)
nadia,5.0,"Tempatnya mudah ditemukan. Selain itu, banyak pilihannya dan pelayanannya top karena setiap pertanyaan selalu dijawab dengan jelas dan komplit. Thank you hero computer 🤘🏻🥰",3 months ago,0,Netral (Error API)
Aprilia Safa nurmaulinda,5.0,Penjaga toko nya ramah dan menjelaskan spesifikasi sesuai kebutuhan pembeli dengan jelas,a week ago,0,Netral (Error API)
Rendy Ady,5.0,"Laptopnya bagus,harga bersahabat,,
Recommended banget pokoknya,,",3 weeks ago,0,Netral (Error API)
Rahva Triliana Agista,5.0,tempatnya nyamann!!! kualitas laptop yang dijual juga oke banget!!! ga nyesel beli disini!!!,a month ago,0,Netral (Error API)
Aufa Rift,5.0,"pelayanan baik, harga terjangkau, kualitas ga diragukan, mantep pol rek",2 months ago,0,Netral (Error API)
Usamah Assholihin,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",4 months ago,0,Netral (Error API)
Coen Xenon,5.0,"""Pelayanan di sini sangat bagus dan interaktif! Stafnya ramah, sabar menjelaskan, dan membantu memilih laptop yang sesuai kebutuhan. Proses pembelian juga cepat dan nyaman. Sangat direkomendasikan!""",7 months ago,0,Netral (Error API)
Fahmita Elma,5.0,"Sangat bagus,pelayanannya ramah dan laptopnya masih oke oke. Recommended buat orang jogja yg mau cari laptop.",3 months ago,0,Netral (Error API)
Muhammad Hafiz,5.0,"Pelayanannya sangat oke dan benar-benar ramah, mereka juga sangat memberikan support apa yang kita butuhkan, saya merasakan hubungan bukan dengan pembeli dan penjual melainkan serasa saudara, karena mereka memang sangat ramah.",6 months ago,0,Netral (Error API)
Muhammad Afkaar Riqqat,5.0,pelayanan sangat ramah dan stok laptop sangat melimpah cocok untuk maba yang sedang mencari laptop,a month ago,0,Netral (Error API)
Patria Agiska Diyose,5.0,"Barang bagus, rekomended untuk yg cari laptop second, tempat nyaman, pelayanan ramah",2 months ago,0,Netral (Error API)
Riski ananda p,5.0,"Pilihan laptop secondhand berkualitas,bagus.  Offline store nyaman dan sejuk. Top markotop👍👍👍 pokonya mantap",4 months ago,0,Netral (Error API)
Azis Turindra,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",6 months ago,0,Netral (Error API)
Ahmad Ali M,5.0,Toko laptop murah. Lengkap bergaransi. Pokoknya laptop mulus banget pelayanan mantap,2 months ago,0,Netral (Error API)
Yusuf Muhammad,5.0,Recomend bgt buat cari laptop spek bagus dan murah,a month ago,0,Netral (Error API)
imankend,5.0,"Service memuaskan, Terima jual beli laptop dengan harga yang cocok👍🏼. thanks hero laptop💯",5 months ago,0,Netral (Error API)
Ermina Pradipta,5.0,"Rekomendasi tempat beli laptop di jogja ni, barangnya oke oke, yang jual ramah juga👍👍",a month ago,0,Positif
Bintang Akb,5.0,"beli disini memuaskan, cs nya enak bisa konsultasi online maupun offline",2 months ago,0,Positif
Dzaki Muh,5.0,Toko bersih rapih dan layanan nya ramah,a month ago,0,Positif
