nama_penulis,rating,teks_ulasan,waktu,likes,sentimen_label
Joshua Mayong,5.0,"Tempat terbaik untuk beli laptop second. Pilihannya banyak, tempatnya nyaman, dingin dan sangat bersih, laptop juga dalam kondisi yang baik semua. Karyawan yang menjaga sangat informatif dan membantu mencarikan sesuai kebutuhan dan sesuai dengan dana yang dimiliki. 10/10 👌🏻",3 months ago,0,Positif
h,5.0,"laptop di sini masi baguss semua kualitas juga oke bgtt, recommend buat yang butuh laptop second like new & harganya yang pasti worth it",2 months ago,0,Positif
Monicha Herwinda,5.0,"pelayanan sudah sangat baik, untuk laptop sangat bervariasi dan terlihat seperti baru👍🏻",a week ago,0,Positif
Danilo,5.0,"Pelayanan bagus, ramah, tempatnya nyaman, terbaik. monggo kesini",a month ago,0,Positif
Realisca Agastha,5.0,"tokonya lengkap, harganya affordable, pelayanan ramah, the best laah pokonya",2 weeks ago,0,Positif
Danang Prasetya,5.0,"Pelayanan bagus,sat set semua dijelasin sampai detail. Bakal langganan disini.",2 months ago,0,Netral
Putri Anggitasari Husna,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,5 months ago,0,Positif
Ahmad Rodhi,5.0,"Pelayanannnya ramah, laptop dengan harga yang sangat terjangkau, dan tempat nyaman juga. Pokoke muantab poolll👌👌",2 months ago,0,Positif
Rahmawati Ratnadila,5.0,"Pelayanannnya ramah, staffnya sangat detail menjelaskan semua produknya. Rekomend untuk teman teman yg mau cari laptop kerja atau kuliah. Staffnya akan menjelaskan detail semua laptop yg kita butuhkan",5 months ago,0,Positif
Adhie Azzuri,4.0,"Pelayanan nya oke..mas e yg jaga mas e yg punya toko ramah...

Ac e adem tenan mas...",2 months ago,0,Positif
Ahmad Nur Aly,5.0,"Toko laptop gaming second recommend di Jogja, unit baru2. Masnya ngasih penjelasan lengkap.
jangan ragu beli di sini.",a month ago,0,Netral
Hasna Ningrum,5.0,"Beli laptop disini terbaik, pelayanannya sangat ramah masnya menjelaskan dengan sangat sabar tempatnya juga nyaman. 🌟🌟🌟",a month ago,0,Positif
nadia,5.0,"Tempatnya mudah ditemukan. Selain itu, banyak pilihannya dan pelayanannya top karena setiap pertanyaan selalu dijawab dengan jelas dan komplit. Thank you hero computer 🤘🏻🥰",3 months ago,0,Positif
Aprilia Safa nurmaulinda,5.0,Penjaga toko nya ramah dan menjelaskan spesifikasi sesuai kebutuhan pembeli dengan jelas,a week ago,0,Positif
Rendy Ady,5.0,"Laptopnya bagus,harga bersahabat,,
Recommended banget pokoknya,,",3 weeks ago,0,Positif
Rahva Triliana Agista,5.0,tempatnya nyamann!!! kualitas laptop yang dijual juga oke banget!!! ga nyesel beli disini!!!,a month ago,0,Positif
Aufa Rift,5.0,"pelayanan baik, harga terjangkau, kualitas ga diragukan, mantep pol rek",2 months ago,0,Positif
Usamah Assholihin,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",4 months ago,0,Positif
Coen Xenon,5.0,"""Pelayanan di sini sangat bagus dan interaktif! Stafnya ramah, sabar menjelaskan, dan membantu memilih laptop yang sesuai kebutuhan. Proses pembelian juga cepat dan nyaman. Sangat direkomendasikan!""",7 months ago,0,Positif
Fahmita Elma,5.0,"Sangat bagus,pelayanannya ramah dan laptopnya masih oke oke. Recommended buat orang jogja yg mau cari laptop.",3 months ago,0,Positif
Muhammad Hafiz,5.0,"Pelayanannya sangat oke dan benar-benar ramah, mereka juga sangat memberikan support apa yang kita butuhkan, saya merasakan hubungan bukan dengan pembeli dan penjual melainkan serasa saudara, karena mereka memang sangat ramah.",6 months ago,0,Positif
Muhammad Afkaar Riqqat,5.0,pelayanan sangat ramah dan stok laptop sangat melimpah cocok untuk maba yang sedang mencari laptop,a month ago,0,Positif
Patria Agiska Diyose,5.0,"Barang bagus, rekomended untuk yg cari laptop second, tempat nyaman, pelayanan ramah",2 months ago,0,Positif
Riski ananda p,5.0,"Pilihan laptop secondhand berkualitas,bagus.  Offline store nyaman dan sejuk. Top markotop👍👍👍 pokonya mantap",4 months ago,0,Positif
Azis Turindra,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",6 months ago,0,Positif
Ahmad Ali M,5.0,Toko laptop murah. Lengkap bergaransi. Pokoknya laptop mulus banget pelayanan mantap,2 months ago,0,Positif
Yusuf Muhammad,5.0,Recomend bgt buat cari laptop spek bagus dan murah,a month ago,0,Positif
imankend,5.0,"Service memuaskan, Terima jual beli laptop dengan harga yang cocok👍🏼. thanks hero laptop💯",5 months ago,0,Positif
Ermina Pradipta,5.0,"Rekomendasi tempat beli laptop di jogja ni, barangnya oke oke, yang jual ramah juga👍👍",a month ago,0,Positif
Bintang Akb,5.0,"beli disini memuaskan, cs nya enak bisa konsultasi online maupun offline",2 months ago,0,Positif
Dzaki Muh,5.0,Toko bersih rapih dan layanan nya ramah,a month ago,0,Positif
wahyu ismoyojati,5.0,"Sdh lama cari laptop second berkualitas, spek oke, tipis dan ringan. Rutin mantengin update story di IG, siapa tahu ada yg cocok.
Nah..hari ini liat story, ada yg memikat.
Staf di WA respon cepat..
Dikrim foto2 unit,,cocok lanjut bayar, transfer..
Sy minta paketkan sja, jogja MACET 😂
Terima kasih hero computer.
Sy tunggu kedatangannya..
Semoga Laptop sampai Aman, Lancar, Awet dan Amanah😁",6 months ago,0,Positif
Hilmi Miftahzen Reza,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",7 months ago,0,Positif
Ibnu Abdul aziez,5.0,"Pelayanan mantap, produknya rekomended, tempatnya bersih estetik",a week ago,0,Positif
Irma Novitasari,5.0,"Goods banget barangnya, serasa beli laptop baru harga second, makasih seller",4 months ago,0,Netral
Harjanto Official,5.0,"Pelayanan ramah, harga cocok",a month ago,0,Positif
zen oktaviani,5.0,"Pelayanan memuaskan, pilihan variasi laptop banyak, harga juga terjangkau. Mantab",5 months ago,0,Positif
Tashya Pembayun,5.0,"Pelayanannya ramah, proses transaksi cepat, dan barang sesuai deskripsi. Laptop dalam kondisi mulus, lengkap. Recommended banget untuk yang cari laptop berkualitas!",a month ago,0,Positif
Witri Nur Anisa,5.0,"Beli laptop buat kebutuhan admin store, pelayanan gercep dan bagus sih. Produknya juga okee, pokoknya rekomen bgt buat yg mau cari laptop second di Jogja!",7 months ago,0,Positif
Suwiknyo Arif,5.0,"Barangnya rekomended dan harga murah tpi bukan murahan, terbaik se jogja pokoknya!!",3 months ago,0,Positif
Daniel Alfarizqi,5.0,"pelayanan baik dan ramah, tempatnya bagus & nyaman, modelnya banyak, dapat bonus✨",a month ago,0,Positif
Reginna Naufal Daaniys Supriono,5.0,"Pelayanannya bagus, kalo Konsul dijelasin detail banget, rekomen bgt buat beli kesinii, apalagi buat yg ga begitu paham laptop pasti dibantu",a month ago,0,Positif
Joseph Gerung,5.0,pegawai nya ramah sekali terus dijelaskan secara detail semua jadinya mudah dimengerti dan laptop nya lengkap sekali,a week ago,0,Positif
Daffa Nurussofa,5.0,"pelayanan terbaik di Hero Computer, recommend untuk mahasiswa yang mau cari laptop second harga terjangkau 👍👍👍",4 months ago,0,Positif
Hakiki FaturrahmanAs,5.0,"mantabb barangnya keren2, beli bekas serasa beli baru. Dan pelayanannnyaa sangatt baguusss, mas mas nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkap dan baikk banget🙏🏻🙏🏻🙏🏻",8 months ago,0,Netral
Faiz Ilham,5.0,"Pelayanan terbaik, penjualnya menjelaskan detail2 dengan bahasa yang mudah dipahami, rekomended buat teman teman yang mau beli laptop tapi bingung dengan spek yang terlalu banyak, bisa langsung datang ke toko",a year ago,0,Positif
orion reno,5.0,"Pelayanannya Ramah, bisa tanya tanya langsung juga sama spek laptop yang mau dibeli dan harganya terjangkau",7 months ago,0,Positif
Radhitya Putra Neindar,5.0,"banyak variasi laptop yang tersedia, penjaga toko juga ramah ramah dan baikkk sekali..",3 months ago,0,Positif
Dhewi Nurhayati,5.0,"Pelayanan oke, laptop lengkap dan sangat direkomendasikan untuk pembelian laptop second dg kualitas tinggi",6 months ago,0,Positif
Azzam Rabbani,5.0,"Pelayanan ramah, bebas tanya"", banyak pilihan laptop yg harganya sangat terjangkau. tempatnya enak nyaman",3 weeks ago,0,Positif
Akid Fauzi,5.0,Rekomen laptop sacond wajib borong sbelum stok habis✨,2 months ago,0,Netral
farra shaesha,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaapo dann baikk banget dikasihh free giftt dan diskon juga, thank youuu🙏🏻🙏🏻🙏🏻",10 months ago,0,Netral
Yehezkiel Samudrananda,5.0,"pelayanan sangat baik, diberikan opsi untuk unit yg sama dengan yg dicari dengan perbandingan yg jelas. offline store juga nyaman dan posisi strategis. sangat recommended utk yg cari laptop 🤙🏻",5 months ago,0,Positif
Akita Rheanita,5.0,"good place, barangnya bagus2 pol",a month ago,0,Netral
Deva Rivaldy,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",2 weeks ago,0,Positif
Yasinta Astrid Susanti,5.0,"thankyou hero computer😊 pelayanan ramah, detail, dan worth it for unitnya 🙏🏻",3 months ago,0,Positif
Amri Abdil Wahab,5.0,"Pelayanan bagus, pas banget nyari laptop yang di pengen, dan lagi dalam perjalanan menuju toko",2 months ago,0,Positif
Nashrul Aziz,5.0,"Pelayanan premium seperti barang²nya.

mantaps, banyak diskon, dicek didepan mata pembeli dan semua barangnya oke, mulus dan lulus semua 🤩",3 months ago,0,Positif
- Aril,5.0,Mantap lah pokoknya,2 months ago,0,Positif
Salman Ridho,5.0,"Tempat jual beli laptop second hand bagus.. Offline storenya nyaman, ber-AC. Pelayanannya pun bagus. Alhamdulillah dapat good deal juga.",a month ago,0,Positif
Lilih Umbara,5.0,"Laptopnya, bergaransi dan terkurasi dengan baik.",a month ago,0,Positif
Aditya Pratama,5.0,Kalo butuh laptop second langsung ke Hero Computer saja kawan 👍,a week ago,0,Netral
Belva rifa Jafier,5.0,mantapp laptop gaming di harga miring a1 no debat💯💯💯,a month ago,0,Netral
Radhitya Ivan,5.0,"Pelayanan sangat ramah bagi yang nyari laptop rekomendasi bgt nih, detail ketika menjelaskan laptop sesuai kebutuhan saya",7 months ago,0,Positif
Muhammad Aprian,5.0,"Pelayanan sangat oke,tempat bersih
dan dapat potongan harga lagi🫵🏻 pokoknya best",6 months ago,0,Netral
Suci Purnamasari,5.0,"Pelayanan memuaskan serta sangat informatif
Barang barang sangat bagus",6 months ago,0,Positif
Kamado Tanjiro,5.0,"Tempat rekomendasi untuk jual atau cari laptop second dijogja,, pelayanan ramah, detail ketika menjelaskan laptop sesuai dengan kebutuhan yang kita cari😁",7 months ago,0,Positif
FIM 77,5.0,"Cari second laptop paling sip disini, lengkap banyak pilihan, harga menarik",4 months ago,0,Netral
Fitri NP,5.0,"Tempat cari gadget recomended banget, khusunya laptop. Aku cari laptop second disini, dibantu kasih rekomendasi sama mas mas pegawainya. Pelayanan super ramah, dan sangat membantu menentukan pilihan.
Harganya sangat bersaing dibanding toko lain, kalau cari yang garasi resmi masih on juga ada. Pokoknya disini siapa cepat dia dapat, baeang incaran cepat sekali terjualnya
Terthe best lah",3 years ago,0,Positif
AYU NINGRUM,1.0,Tempat nya kurang nyaman,3 months ago,0,Netral
Haidar Shiddiq,5.0,"harga terjangkau diskon banyakk, pelayanan ramahh",3 months ago,0,Netral
MUHAMMAD WAHID NASHRULLOH,5.0,bagus deh buat yang lagi nyari laptop second murah di jogja recommend banget,5 days ago,0,Positif
Eniek Nawarsih,5.0,"pelayanan ramah, laptop murah berkualitas",6 months ago,0,Positif
Rahmatika Marsaoli,5.0,"Untuk kakak-kakak yang jualnya baik dan informatif sekali, tempat nyaman dan sejuk🌻",5 months ago,0,Positif
isyi,5.0,"servis okeee, barang bagus mulus. mantaplah 👍🏻👍🏻👍🏻",3 weeks ago,0,Positif
Daniel Alfarizqi,5.0,"pelayanan baik dan ramah, tempatnya bagus & nyaman, modelnya banyak, dapat bonus✨",a month ago,0,Positif
Rifki,5.0,"Gudangnya laptop bekas berkualitas rasa baru. Adminnya ramah banget, ada garansi juga. Pilihan laptopnya juga banyak. Gudangnya laptop spek dewa harga murah. Pokoknya rekomended banget. Saya kesini, adminnya sampai beliin es jeruk saking ramahnya. Keren deh.",a year ago,0,Positif
Reyhan Sty,5.0,Cari laptop murah kualitas premium!,a month ago,0,Netral
Nining Rahmala,5.0,"Pelayanannya ramah,, tempatnya nyaman, tokonya amanah, tempat jual laptop second Ter rekomended",2 months ago,0,Positif
Hendra Hendrawan,2.0,Jauh jauh ke sini dari Ponorogo Alhamdulillah dapat barang tidak sesuai,4 months ago,0,Positif
Yusuf Rahmatullah,5.0,"Unit mantap, like new, pegawai ramah...",4 months ago,0,Positif
faisal adnan,5.0,Balik lagi ke hero buat beli laptop incaran ternyata sudah laku wkwk. Alhamdulillah dapet laptop lain di harga yang cukup mirip dengan sebelumnya.👍👍,2 months ago,0,Netral
Bagas Fawaz D,5.0,"pelayanan ramah, barang sesuai yang di inginkan, recommended",3 weeks ago,0,Positif
Well Dude,5.0,"Good service, laptopnya like new, dapet bonus jugaaa 10/10",6 months ago,0,Netral
Aqsha Laorens Umami,5.0,"pilihan laptop terpercaya, bagus, dan pastinya juga original serta pemakaian bisa jangka panjang. Jangan lupa berbelanja disini guys.",3 months ago,0,Positif
Dinda Ajeng Prastika,5.0,"Jual beli laptop bekas tapi kualitas berkelas 👍🏻. Beli laptop masih garansi officialnya 2 tahun, abis tu dapet potongan 100rb/new mouse. Masnya juga ramah dan membantu banget",a year ago,0,Positif
Ali Suranto,5.0,"pelayanannya ramaah, dibantu buat cek cek sepesifikasi dan pertanyaan pertanyaan di jawab dengan baik",6 months ago,0,Positif
Manyus Mariyanto (Rian),5.0,"Bagus pelayanan nya,, buat kita yg awam dibantu penjelasan spek laptop nya 🔥",2 months ago,0,Positif
Thofa Jr,5.0,"Laptopnya kualitasnya ok
Beberapa transaksi disini tidak pernah bermasalah",4 months ago,0,Netral
Muhammad Fariz,5.0,"Tempat cari laptop second recommended.
Pelayanannya ramah, tempat nyaman. Lengkap sekali laptop dari range harga berapapun ada.",3 months ago,0,Positif
Heni Listya,5.0,"Bagus, pelayanan ramah recommend untuk yg mau cari laptop kerja maupun buat kuliah",2 months ago,0,Positif
Dean Asmara,5.0,"Nyaman, cepat, tertata, dan bisa cari spek laptop yg sesuai juga",a month ago,0,Positif
apti alimah,5.0,"Good place, banyak pilihan laptopnya , barangnya masih bagus, mas nya ramah jugaa",2 months ago,0,Positif
Soulbit Yoga,5.0,"Pelayanan baik terbuka konsultasi via chat atau kunjungan di storenya langsung. Produk laptop oke punya, mantap deh. Langsung beli 2 unit, tinggal makin dibanyakin stoknya ya, biar makin banyak pilihannya juga 👍",11 months ago,0,Positif
MUHAMMAD YUSUF RAHARDIAN,5.0,"Pelayanan terbaik, harga terbaik",a week ago,0,Positif
Annas Rizky Julyanto,3.0,"Niat cari laptop second disni tapi kurang lengkap, dan pelayan nya tidak enak",2 months ago,0,Negatif
Muhammad Annur Rizal,5.0,ada nomor WA yang bisa dihubungi ga min hero computer? Takutnya banyak penipuan yg mengatasnamakan hero computer,2 months ago,0,Netral
Aldi Muhamad Rizqi,2.0,Kurang lengkap,10 months ago,0,Negatif
Winda Dwi Lestari,5.0,"Tempat beli komputer second yang sangat recomended. Tersedia banyak pilihan laptop second tapi fisiknya masih sangat bagus, dan spesifikasi mantap generasi terbaru. Sukses terus hero.",a year ago,0,Positif
Muhammad Nur Prasetyo,2.0,Baru pertama kali kesini tapi mbak nya jutek bangettt,a year ago,0,Netral
Ayu Listia Arifin,5.0,pelayanannya baikk kakanya ramah poll dan dapet diskonn juga😻🫰🏻,a month ago,0,Positif
Sigit Meliyanto,5.0,"Top, beli online , ga perlu cek barang langsung udah dijamin bagus pol..",2 weeks ago,0,Positif
Widi Setyawan,3.0,cukup lengkap,6 days ago,0,Netral
Dona Setya Nuraini,5.0,"memuaskan, saya beli laptop disini, mas masnya informatif dan ramah",6 months ago,0,Positif
Stefan Dhev,5.0,"Toko tempat beli laptop bergaransi dan terpercaya, unit looks good, performa bagus, harga terjangkau untuk spek dikelas masing masing",2 months ago,0,Positif
Akul Gama,5.0,"Baru coba pertama kali, pilihannya laptopnya banyak. Semoga cocok biar jadi langganan kalau suruh cariin untuk kantor lagi",3 months ago,0,Netral
Ahmad Farizal,5.0,"Mau beli laptop second berkualitas disini aja tempat nya, dijamin paling murah se Yogyakarta👍👍👍",a month ago,0,Netral
Stevanus Dannydra Prasetyo,5.0,"Saya beli disini 10 unit untuk perusahaan saya , udah jalan 2 tahun masih okee . Makasi bang owner 🔥",Edited a year ago,0,Netral
Najwah Ariella Puteri,5.0,Jual-beli laptop yang recommended 👍🏻 laptopnya masih bagus dan pelayanannya juga ramah. Pokoknya kalau mau beli laptop second di sini gak usah ragu 👍🏻,4 months ago,0,Positif
Dede Hardiansyah,5.0,"Kualitas baguss, harga bisa nego ada diskon juga di hari wekkend",a month ago,0,Netral
Rio Ardiyansyah,5.0,Pelayanan nya bagus… Harga nyaa untukk Laptop Spek Gaming Tipis tipis masih okee buattt di kantonggg,3 months ago,0,Positif
Galuh Alfian Effendi,5.0,Unit bagus lengkap pelayanan ramah Top,5 months ago,0,Positif
anisah ainiromadhoni,5.0,"makasih...
habis beli disini.  Semoga awet.  Aamiin",5 months ago,0,Positif
IndraSurya Bargo,5.0,Barang bagus ori semua..  laptop model² baru... Harga bisa di nego,a month ago,0,Positif
TM_Hasbi Firmansyah,3.0,mbak nya agak judes,7 months ago,0,Netral
Jamil Masykuri,5.0,"Masnya ramah, ada tambahan instal office, barang bagus",a month ago,0,Positif
Heny Agustiyani,5.0,"Banyak pilihan unitnya dan dapet diskon, staf membantu dan ramah, tempatnya adem dan bersih.",7 months ago,0,Positif
Arimbi Arum Sw.,5.0,"Pelayanan super ramah, kualitas laptopnya masih bagus2. Rekomen kalau mau nyari laptop second disini",11 months ago,0,Positif
Pur Rakhmatul Barri,5.0,"Tempatnya nyaman, pelayanan jg cepet. ~Nemenin teman kantor beli laptop",4 months ago,0,Positif
Dimas Andreansyah,5.0,"Tempat, dan pelayanannya sangat bagus. Laptop disini lengkap, dan dalam kondisi yang baik.",10 months ago,0,Positif
Rofiq Mubarok,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,3 months ago,0,Positif
Leny Hartasya Agustin 05,5.0,"Pelayanan memuaskan, laptop masih bagus bagus",a month ago,0,Positif
Abram Dewantoro,5.0,"Offline store dari ignya : laptopbekasyogyakarta.id bekas berkualitas, barangnya manteb manteb, mantau terus ignya tiap ada postingan baru, kalo ngga cepet cepet nge booking bisa keduluan orang lain, hasil buruan pun dapet disini tuff f15 jauh lebih hemat dari beli baru, padahal barang 98% like new",3 years ago,0,Netral
Andri Aprianto,5.0,Mau cari laptop bekas ya diHERO computer tempatnya jual beli tukar tambah juga bisa dilayani dengan staf2 yg ramah,3 months ago,0,Positif
Budi angrh,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",5 months ago,0,Positif
Aziz Kurniardi1,5.0,"mantap pelayanan baik dan responsif, rekomended",a month ago,0,Positif
Jihad Maruf,5.0,"Pelayanan , oke , harga terjangkau , sip pokoe",6 months ago,0,Positif
M. Gaudienzo Lorenzo Puling,5.0,"Tempatnya aman dan nyaman, petugasnya sangat membantu dan bisa tawar harga yang terbaik pula.",4 months ago,0,Positif
Ferdinand 10,5.0,"pelayanan ramah, penjelasan tentang laptop detail, untuk harga affordable dengan spec laptop yg didapatkan, pilihan laptop banyak",a year ago,0,Positif
njay,5.0,pelayanannya sangat bagus,2 weeks ago,0,Positif
Eka Saputri,5.0,"pelayanan oke, barang nya mantap betul TERBAIK",a week ago,0,Positif
Muhammad Wildan K.,5.0,"Pelayanan super ramah, dan cepat, tempatnya rapih nyaman, barangnya bagus bagus",a year ago,0,Positif
fitra sony,5.0,"Numbaske laptop ibuk saya, bonusnya ada, potongan harga ada.. Mas-mas penjualan lumayan membantu, barang bisa dicek dulu sampai puas sampai ga ngeh dah lewat jam tutup.. matur nuwun, heroes..",a year ago,0,Positif
Novia Tri Ratnasari,5.0,"Pelayanan nya baik, ramah,, harga oke dapat barang bagus sesuai,",3 months ago,0,Positif
Andrean Henrikus,5.0,"Mantappp, puas beli laptop disini. Chat pas hari h lebaran masih direspon & dilayani dengan baik. Terimakasih banyak semoga sehat & sukses selalu orang baik 🙏🏻",6 months ago,0,Positif
Muah Roniie,5.0,Pelayanannya OK,3 weeks ago,0,Netral
Mulia simanjuntak,5.0,Pelayanan top dengan pilihan laptop yang beragam. TOP,3 weeks ago,0,Positif
Shafi Salsabila,5.0,"bagus,, tempat nyaman pelayanan oke",a month ago,0,Positif
Daily Clips,5.0,"Pelayanan sangat baik
Harga bersahabat
Kualitas mantap bgtt
Makasih herooo",2 years ago,0,Positif
Widya Arum Miranti,5.0,"Bagus banget like newwww, masnya ramah dan mau menjelaskan dengan sabar utk org yg gak ngerti laptop. Worth untuk dicoba beliii🥰♥️",a year ago,0,Positif
Nabung Naskah,5.0,"Beli laptop second berkualitas disini aja, harga paling murah se Jogja👍👍😝",a month ago,0,Netral
Slamet Riyadi1,5.0,"Mantapp spek laptopnya baguss
Pelayanannya baguss",a month ago,0,Netral
meida widyaningrum,5.0,Jossjisss recomended masya ramahh poll pilihannya lengkap🤩🫵,3 weeks ago,0,Netral
zahra,5.0,Pelayanan oke harga terjangkau,a month ago,0,Positif
Rafi,5.0,Pelayanan Ramah Dan Harga Terjangkau,a month ago,0,Positif
Rangga Perdana,5.0,"Pelayanannya bintang 5, puas banget, nanya apa aja dijawab dan produknya yang dijual beneran berkualitas, second tapi kondisinya kayak barang baru! harganya jangan ditanya, WORTH THE PRICE ✨🔥 Sukses terus buat Hero Computer, saya akan kembali lagi 👍🏻😂",a year ago,0,Positif
fathan azka,5.0,"Recommend buat beli laptop disini, sellernya ramah2, friendly, semoga amanah dan berkah rezekinya",10 months ago,0,Netral
Hasna Huwaida,5.0,"Pelayanan ramah, laptop yang dimau ada kualitas mantap, harga terjangkau",3 months ago,0,Positif
Woci Cilik,5.0,"Tempatnya nyaman, dingin, banyak pilihan dan harga murah",3 weeks ago,0,Positif
Yuio pou gaming Salam,5.0,rekomen banget pelayanan nya juga bagus banget,a month ago,0,Positif
Essica Verawaty,5.0,"Pelayanannya good , laptop nya bergaransi , worth it 👍",2 months ago,0,Netral
eum rets,5.0,"Pelayanannya bagus ramah, pegawainya sat set, storenya juga nyaman banget",3 months ago,0,Positif
mang kan,5.0,"Tempate ciamik pol, lengkap, dan hargane murah meriah.",a month ago,0,Netral
Ridwan Putra,5.0,"pelayanan ramah, pilihan juga banyak",a month ago,0,Positif
Danish Dwi Kuncoro,5.0,"pelayanan bagus, rekomen untuk cari laptop",5 months ago,0,Positif
Yusril Nur,5.0,"kualitas terbaik laptop second dan bisa jual beli, untuk pelayanan sangat ramah",4 months ago,0,Positif
Ady Hadiansyah,5.0,Tempat laptop second bergaransi terbaik di kota jogja🔥🤩👍,9 months ago,0,Positif
