nama_penulis,rating,teks_ulasan,waktu,likes,case_holding_sentimen,sentimen,ulasan_bersih
Furqon Ahmad Fauzi,5.0,"Alhamdulillah dapet laptop spek bagus dan sesuai kebutuhan, karena disana di paparkan sesuai request pelanggan, jadi enak, bonus juga mouse, tas laptop, kena diskon juga sii,hehe...makasih Hero Computer, semoga laptopnya awet ya.aamiin",5 months ago,0,Netral,Positif,alhamdulillah dapet laptop spek bagus sesuai butuh sana papar sesuai request langgan enak bonus mouse tas laptop kena diskon siihehemakasih hero computer moga laptop awet yaaamiin
Sad Polaris,5.0,"Barusan beli latop disini, dan jujur puas banget! Dari awal tanya-tanya, adminnya fast respon dan sabar jelasin. Pilihan laptop banyak, harganya juga oke banget dibanding tempat lain. Proses kirim cepet, laptop langsung nyala tanpa masalah. Pokoknya recommended banget buat yang mau cari laptop tanpa ribet!",5 months ago,0,Positif,Positif,barusan beli latop jujur puas banget tanyatanya adminnya fast respon sabar jelasin pilih laptop harga oke banget banding proses kirim cepet laptop langsung nyala pokok recommended banget cari laptop ribet
Alfiyan Fadly,5.0,"Pelayanan ramah, barangnya masih bagus bagus, akses sangat mudah... Saya udah muter2 cari lp bakas tapi yang cukup lengkap cuma di sini",5 months ago,0,Netral,Positif,layan ramah barang bagus bagus akses mudah udah muter cari lp bakas lengkap
Budianto Haris,5.0,"Pelayanan ramah, harga naiss, rekomended sekali untuk nyari laptop second berkualitas dan yg jelas harga menarik",4 months ago,0,Netral,Positif,layan ramah harga naiss rekomended nyari laptop second kualitas yg harga tarik
fikhri ardiansyah,5.0,"Tempat nyaman, stafnya sabar jelasin spesifikasi laptop, cocok buat yang kurang paham teknologi",a month ago,0,Netral,Positif,nyaman staf sabar jelasin spesifikasi laptop cocok paham teknologi
Agung Febri,5.0,"Hero computer emang recomend buat kantong² menengah pelayananya ramah,juooossss pokoke",a week ago,0,Netral,Positif,hero computer emang recomend kantong tengah pelayananya ramahjuooossss pokoke
Joshua Mayong,5.0,"Tempat terbaik untuk beli laptop second. Pilihannya banyak, tempatnya nyaman, dingin dan sangat bersih, laptop juga dalam kondisi yang baik semua. Karyawan yang menjaga sangat informatif dan membantu mencarikan sesuai kebutuhan dan sesuai dengan dana yang dimiliki. 10/10 👌🏻",3 months ago,0,Netral,Positif,baik beli laptop second pilih tempat nyaman dingin bersih laptop kondisi karyawan jaga informatif bantu cari sesuai butuh sesuai dana milik
h,5.0,"laptop di sini masi baguss semua kualitas juga oke bgtt, recommend buat yang butuh laptop second like new & harganya yang pasti worth it",2 months ago,0,Positif,Positif,laptop mas baguss kualitas oke bgtt recommend butuh laptop second like new harga worth it
Monicha Herwinda,5.0,"pelayanan sudah sangat baik, untuk laptop sangat bervariasi dan terlihat seperti baru👍🏻",a week ago,0,Netral,Positif,layan laptop variasi
Danilo,5.0,"Pelayanan bagus, ramah, tempatnya nyaman, terbaik. monggo kesini",a month ago,0,Netral,Positif,layan bagus ramah tempat nyaman baik monggo kesini
Realisca Agastha,5.0,"tokonya lengkap, harganya affordable, pelayanan ramah, the best laah pokonya",2 weeks ago,0,Positif,Positif,toko lengkap harga affordable layan ramah the best laah poko
Danang Prasetya,5.0,"Pelayanan bagus,sat set semua dijelasin sampai detail. Bakal langganan disini.",2 months ago,0,Netral,Positif,layan bagussat set dijelasin detail langgan
Putri Anggitasari Husna,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,5 months ago,0,Netral,Positif,salah rekomendasi beli laptop second jogja staffnya ramah informatif pilih laptop keluar baru
Ahmad Rodhi,5.0,"Pelayanannnya ramah, laptop dengan harga yang sangat terjangkau, dan tempat nyaman juga. Pokoke muantab poolll👌👌",2 months ago,0,Netral,Positif,pelayanannnya ramah laptop harga jangkau nyaman pokoke muantab poolll
Rahmawati Ratnadila,5.0,"Pelayanannnya ramah, staffnya sangat detail menjelaskan semua produknya. Rekomend untuk teman teman yg mau cari laptop kerja atau kuliah. Staffnya akan menjelaskan detail semua laptop yg kita butuhkan",5 months ago,0,Netral,Positif,pelayanannnya ramah staffnya detail produk rekomend teman teman yg cari laptop kerja kuliah staffnya detail laptop yg butuh
Adhie Azzuri,4.0,"Pelayanan nya oke..mas e yg jaga mas e yg punya toko ramah...

Ac e adem tenan mas...",2 months ago,0,Netral,Positif,layan nya okemas e yg jaga mas e yg toko ramah ac e adem tenan mas
Ahmad Nur Aly,5.0,"Toko laptop gaming second recommend di Jogja, unit baru2. Masnya ngasih penjelasan lengkap.
jangan ragu beli di sini.",a month ago,0,Netral,Positif,toko laptop gaming second recommend jogja unit mas ngasih jelas lengkap ragu beli
Hasna Ningrum,5.0,"Beli laptop disini terbaik, pelayanannya sangat ramah masnya menjelaskan dengan sangat sabar tempatnya juga nyaman. 🌟🌟🌟",a month ago,0,Netral,Positif,beli laptop baik layan ramah mas sabar tempat nyaman
nadia,5.0,"Tempatnya mudah ditemukan. Selain itu, banyak pilihannya dan pelayanannya top karena setiap pertanyaan selalu dijawab dengan jelas dan komplit. Thank you hero computer 🤘🏻🥰",3 months ago,0,Positif,Positif,tempat mudah temu pilih layan top komplit thank you hero computer
Aprilia Safa nurmaulinda,5.0,Penjaga toko nya ramah dan menjelaskan spesifikasi sesuai kebutuhan pembeli dengan jelas,a week ago,0,Netral,Positif,jaga toko nya ramah spesifikasi sesuai butuh beli
Rendy Ady,5.0,"Laptopnya bagus,harga bersahabat,,
Recommended banget pokoknya,,",3 weeks ago,0,Netral,Positif,laptop bagusharga sahabat recommended banget pokok
Rahva Triliana Agista,5.0,tempatnya nyamann!!! kualitas laptop yang dijual juga oke banget!!! ga nyesel beli disini!!!,a month ago,0,Netral,Positif,tempat nyamann kualitas laptop jual oke banget ga nyesel beli
Aufa Rift,5.0,"pelayanan baik, harga terjangkau, kualitas ga diragukan, mantep pol rek",2 months ago,0,Netral,Positif,layan harga jangkau kualitas ga ragu mantep pol rek
Usamah Assholihin,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",4 months ago,0,Netral,Positif,recomended jualbeli laptop area sleman layan ramah
Coen Xenon,5.0,"""Pelayanan di sini sangat bagus dan interaktif! Stafnya ramah, sabar menjelaskan, dan membantu memilih laptop yang sesuai kebutuhan. Proses pembelian juga cepat dan nyaman. Sangat direkomendasikan!""",7 months ago,0,Netral,Positif,layan bagus interaktif staf ramah sabar bantu pilih laptop sesuai butuh proses beli cepat nyaman rekomendasi
Fahmita Elma,5.0,"Sangat bagus,pelayanannya ramah dan laptopnya masih oke oke. Recommended buat orang jogja yg mau cari laptop.",3 months ago,0,Netral,Positif,baguspelayanannya ramah laptop oke oke recommended orang jogja yg cari laptop
Muhammad Hafiz,5.0,"Pelayanannya sangat oke dan benar-benar ramah, mereka juga sangat memberikan support apa yang kita butuhkan, saya merasakan hubungan bukan dengan pembeli dan penjual melainkan serasa saudara, karena mereka memang sangat ramah.",6 months ago,0,Netral,Positif,layan oke benarbenar ramah support butuh rasa hubung beli jual serasa saudara ramah
Muhammad Afkaar Riqqat,5.0,pelayanan sangat ramah dan stok laptop sangat melimpah cocok untuk maba yang sedang mencari laptop,a month ago,0,Netral,Positif,layan ramah stok laptop limpah cocok maba cari laptop
Patria Agiska Diyose,5.0,"Barang bagus, rekomended untuk yg cari laptop second, tempat nyaman, pelayanan ramah",2 months ago,0,Netral,Positif,barang bagus rekomended yg cari laptop second nyaman layan ramah
Riski ananda p,5.0,"Pilihan laptop secondhand berkualitas,bagus.  Offline store nyaman dan sejuk. Top markotop👍👍👍 pokonya mantap",4 months ago,0,Positif,Positif,pilih laptop secondhand berkualitasbagus offline store nyaman sejuk top markotop poko mantap
Azis Turindra,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",6 months ago,0,Netral,Positif,alhamdulillah layan muas konsultasi sesuai sesuai budjet laptop keluar muda
Ahmad Ali M,5.0,Toko laptop murah. Lengkap bergaransi. Pokoknya laptop mulus banget pelayanan mantap,2 months ago,0,Netral,Positif,toko laptop murah lengkap garansi pokok laptop mulus banget layan mantap
Yusuf Muhammad,5.0,Recomend bgt buat cari laptop spek bagus dan murah,a month ago,0,Netral,Positif,recomend bgt cari laptop spek bagus murah
imankend,5.0,"Service memuaskan, Terima jual beli laptop dengan harga yang cocok👍🏼. thanks hero laptop💯",5 months ago,0,Positif,Positif,service muas terima jual beli laptop harga cocok thanks hero laptop
Ermina Pradipta,5.0,"Rekomendasi tempat beli laptop di jogja ni, barangnya oke oke, yang jual ramah juga👍👍",a month ago,0,Netral,Positif,rekomendasi beli laptop jogja ni barang oke oke jual ramah
Bintang Akb,5.0,"beli disini memuaskan, cs nya enak bisa konsultasi online maupun offline",2 months ago,0,Netral,Positif,beli muas cs nya enak konsultasi online offline
Dzaki Muh,5.0,Toko bersih rapih dan layanan nya ramah,a month ago,0,Netral,Positif,toko bersih rapih layan nya ramah
wahyu ismoyojati,5.0,"Sdh lama cari laptop second berkualitas, spek oke, tipis dan ringan. Rutin mantengin update story di IG, siapa tahu ada yg cocok.
Nah..hari ini liat story, ada yg memikat.
Staf di WA respon cepat..
Dikrim foto2 unit,,cocok lanjut bayar, transfer..
Sy minta paketkan sja, jogja MACET 😂
Terima kasih hero computer.
Sy tunggu kedatangannya..
Semoga Laptop sampai Aman, Lancar, Awet dan Amanah😁",6 months ago,0,Netral,Positif,sdh cari laptop second kualitas spek oke tipis ringan rutin mantengin update story ig yg cocok nahhari liat story yg mikat staf wa respon cepat krim foto unitcocok bayar transfer sy paket sja jogja macet terima kasih hero computer sy tunggu datang moga laptop aman lancar awet amanah
Hilmi Miftahzen Reza,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",7 months ago,0,Positif,Positif,layan ramah own nya detail sesuai butuh laptop ken beli sukses berkas hero computer moga rezeki nular
Ibnu Abdul aziez,5.0,"Pelayanan mantap, produknya rekomended, tempatnya bersih estetik",a week ago,0,Netral,Positif,layan mantap produk rekomended tempat bersih estetik
Irma Novitasari,5.0,"Goods banget barangnya, serasa beli laptop baru harga second, makasih seller",4 months ago,0,Netral,Positif,goods banget barang serasa beli laptop harga second makasih seller
Harjanto Official,5.0,"Pelayanan ramah, harga cocok",a month ago,0,Netral,Positif,layan ramah harga cocok
zen oktaviani,5.0,"Pelayanan memuaskan, pilihan variasi laptop banyak, harga juga terjangkau. Mantab",5 months ago,0,Netral,Positif,layan muas pilih variasi laptop harga jangkau mantab
Tashya Pembayun,5.0,"Pelayanannya ramah, proses transaksi cepat, dan barang sesuai deskripsi. Laptop dalam kondisi mulus, lengkap. Recommended banget untuk yang cari laptop berkualitas!",a month ago,0,Netral,Positif,layan ramah proses transaksi cepat barang sesuai deskripsi laptop kondisi mulus lengkap recommended banget cari laptop kualitas
Witri Nur Anisa,5.0,"Beli laptop buat kebutuhan admin store, pelayanan gercep dan bagus sih. Produknya juga okee, pokoknya rekomen bgt buat yg mau cari laptop second di Jogja!",7 months ago,0,Netral,Positif,beli laptop butuh admin store layan gercep bagus sih produk okee pokok rekomen bgt yg cari laptop second jogja
Suwiknyo Arif,5.0,"Barangnya rekomended dan harga murah tpi bukan murahan, terbaik se jogja pokoknya!!",3 months ago,0,Netral,Positif,barang rekomended harga murah tpi murah baik jogja pokok
Daniel Alfarizqi,5.0,"pelayanan baik dan ramah, tempatnya bagus & nyaman, modelnya banyak, dapat bonus✨",a month ago,0,Netral,Positif,layan ramah tempat bagus nyaman model bonus
Reginna Naufal Daaniys Supriono,5.0,"Pelayanannya bagus, kalo Konsul dijelasin detail banget, rekomen bgt buat beli kesinii, apalagi buat yg ga begitu paham laptop pasti dibantu",a month ago,0,Netral,Positif,layan bagus kalo konsul dijelasin detail banget rekomen bgt beli kesini yg ga paham laptop bantu
Joseph Gerung,5.0,pegawai nya ramah sekali terus dijelaskan secara detail semua jadinya mudah dimengerti dan laptop nya lengkap sekali,a week ago,0,Netral,Positif,pegawai nya ramah detail mudah erti laptop nya lengkap
Daffa Nurussofa,5.0,"pelayanan terbaik di Hero Computer, recommend untuk mahasiswa yang mau cari laptop second harga terjangkau 👍👍👍",4 months ago,0,Netral,Positif,layan baik hero computer recommend mahasiswa cari laptop second harga jangkau
Hakiki FaturrahmanAs,5.0,"mantabb barangnya keren2, beli bekas serasa beli baru. Dan pelayanannnyaa sangatt baguusss, mas mas nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkap dan baikk banget🙏🏻🙏🏻🙏🏻",8 months ago,0,Netral,Positif,mantabb barang keren beli bekas serasa beli pelayanannnyaa sangatt baguusss mas mas nyaa gercepp dann ramahhh selaluu fastt responn barang barangnyaa jugaa lengkap baikk banget
Faiz Ilham,5.0,"Pelayanan terbaik, penjualnya menjelaskan detail2 dengan bahasa yang mudah dipahami, rekomended buat teman teman yang mau beli laptop tapi bingung dengan spek yang terlalu banyak, bisa langsung datang ke toko",a year ago,0,Netral,Positif,layan baik jual detail bahasa mudah paham rekomended teman teman beli laptop bingung spek langsung toko
orion reno,5.0,"Pelayanannya Ramah, bisa tanya tanya langsung juga sama spek laptop yang mau dibeli dan harganya terjangkau",7 months ago,0,Netral,Positif,layan ramah langsung spek laptop beli harga jangkau
Radhitya Putra Neindar,5.0,"banyak variasi laptop yang tersedia, penjaga toko juga ramah ramah dan baikkk sekali..",3 months ago,0,Netral,Positif,variasi laptop sedia jaga toko ramah ramah baikkk
Dhewi Nurhayati,5.0,"Pelayanan oke, laptop lengkap dan sangat direkomendasikan untuk pembelian laptop second dg kualitas tinggi",6 months ago,0,Netral,Positif,layan oke laptop lengkap rekomendasi beli laptop second dg kualitas
Azzam Rabbani,5.0,"Pelayanan ramah, bebas tanya"", banyak pilihan laptop yg harganya sangat terjangkau. tempatnya enak nyaman",3 weeks ago,0,Netral,Positif,layan ramah bebas pilih laptop yg harga jangkau tempat enak nyaman
Akid Fauzi,5.0,Rekomen laptop sacond wajib borong sbelum stok habis✨,2 months ago,0,Netral,Positif,rekomen laptop sacond wajib borong sbelum stok habis
farra shaesha,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaapo dann baikk banget dikasihh free giftt dan diskon juga, thank youuu🙏🏻🙏🏻🙏🏻",10 months ago,0,Positif,Positif,pelayanannnyaa sangatt baguusss kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn barang barangnyaa jugaa lengkaapo dann baikk banget dikasihh free giftt diskon thank youuu
Yehezkiel Samudrananda,5.0,"pelayanan sangat baik, diberikan opsi untuk unit yg sama dengan yg dicari dengan perbandingan yg jelas. offline store juga nyaman dan posisi strategis. sangat recommended utk yg cari laptop 🤙🏻",5 months ago,0,Netral,Positif,layan opsi unit yg yg cari banding yg offline store nyaman posisi strategis recommended utk yg cari laptop
Akita Rheanita,5.0,"good place, barangnya bagus2 pol",a month ago,0,Positif,Positif,good place barang bagus pol
Deva Rivaldy,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",2 weeks ago,0,Netral,Positif,recomended jualbeli laptop area sleman layan ramah
Yasinta Astrid Susanti,5.0,"thankyou hero computer😊 pelayanan ramah, detail, dan worth it for unitnya 🙏🏻",3 months ago,0,Positif,Positif,thankyou hero computer layan ramah detail worth it for unit
Amri Abdil Wahab,5.0,"Pelayanan bagus, pas banget nyari laptop yang di pengen, dan lagi dalam perjalanan menuju toko",2 months ago,0,Netral,Positif,layan bagus pas banget nyari laptop ken jalan toko
Nashrul Aziz,5.0,"Pelayanan premium seperti barang²nya.

mantaps, banyak diskon, dicek didepan mata pembeli dan semua barangnya oke, mulus dan lulus semua 🤩",3 months ago,0,Netral,Positif,layan premium barang mantaps diskon cek depan mata beli barang oke mulus lulus
- Aril,5.0,Mantap lah pokoknya,2 months ago,0,Netral,Positif,mantap pokok
Salman Ridho,5.0,"Tempat jual beli laptop second hand bagus.. Offline storenya nyaman, ber-AC. Pelayanannya pun bagus. Alhamdulillah dapat good deal juga.",a month ago,0,Positif,Positif,jual beli laptop second hand bagus offline storenya nyaman berac layan bagus alhamdulillah good deal
Lilih Umbara,5.0,"Laptopnya, bergaransi dan terkurasi dengan baik.",a month ago,0,Netral,Positif,laptop garansi rasi
Aditya Pratama,5.0,Kalo butuh laptop second langsung ke Hero Computer saja kawan 👍,a week ago,0,Netral,Positif,kalo butuh laptop second langsung hero computer kawan
Belva rifa Jafier,5.0,mantapp laptop gaming di harga miring a1 no debat💯💯💯,a month ago,0,Netral,Positif,mantapp laptop gaming harga miring a no debat
Radhitya Ivan,5.0,"Pelayanan sangat ramah bagi yang nyari laptop rekomendasi bgt nih, detail ketika menjelaskan laptop sesuai kebutuhan saya",7 months ago,0,Netral,Positif,layan ramah nyari laptop rekomendasi bgt nih detail laptop sesuai butuh
Muhammad Aprian,5.0,"Pelayanan sangat oke,tempat bersih
dan dapat potongan harga lagi🫵🏻 pokoknya best",6 months ago,0,Positif,Positif,layan oketempat bersih potong harga pokok best
Suci Purnamasari,5.0,"Pelayanan memuaskan serta sangat informatif
Barang barang sangat bagus",6 months ago,0,Netral,Positif,layan muas informatif barang barang bagus
Kamado Tanjiro,5.0,"Tempat rekomendasi untuk jual atau cari laptop second dijogja,, pelayanan ramah, detail ketika menjelaskan laptop sesuai dengan kebutuhan yang kita cari😁",7 months ago,0,Netral,Positif,rekomendasi jual cari laptop second dijogja layan ramah detail laptop sesuai butuh cari
