nama_penulis,rating,teks_ulasan,waktu
Windi Yulianto,5,"Mau cerita 

1. Tadi ke mirota palagan ini hanya sekedar ingin ganti tali jam saya yang putus ( tali jam bawa sendiri ) sama masnya di ganti dengan cepat padahal dia lagi ngerjain sesuatu. Kemudian bgtu selesai sy mau byr masnya menolak dengan alasan hanya ganti tali... jujur itu apresiasi bngt dan terkesan,  bukan karena soal di buat GRATIS tp dari caranya cepet, dan caranya handle meluangkan waktunya padahal ad yang lain yang dia harus kerjakan 
2. Tukang parkirnya rama pull bahkan ada yang udh kenal karena udh tauh bhwa saya sering kesana di kasih 2000rb malah di balikin 1000rb
3. Saya ingin memberi satu masukan bahwa spg spg yang mungkin dari luar saya kurang paham juga, karena mreka pake baju batik, kadang baju biasa  tp biar menjadi catatan bahwa kerjanya biar lebih propersional lagi dengan cara kurang2 i untuk numpuk bergerombol di suatu titik dan tidak hanya satu titik lalu crita masalah kehidupan pribadi. Contoh numpuk di titik area snack misalnya ... ada mbak2nya di situ berdri 2 3 orang dan mau ambil snak jadi gk jadi karena itu dan sangat menghalangj.... ia kalau kerja tapi ini gk
4. Harap perhatikan lagi untuk setiap produk sekiranya yang di ambil oleh customer bukan produk yang sudah terbuka lalu di tutup dengan lakban padahal itu makanan dan akhirnya tidak jadi makan
5. Bintang 5 untuk mas2 yang punya kedai revarasi jam, tukang parkir, mbak2 kasir dan spg mirota yang pakai seragam kusus mirota
Kalian luar biasa baik....
Dan bintang satu buat mbak2 yang kerjaannya cuma ngerumpi di saat jam kerja itu sangat tidak propersional.",sebulan lalu
Emerald Novitasari,5,Cake Brownies Serut-nya enak lembut & cokelatnya kalem ngga bikin sakit tenggorokan,sebulan lalu
Muadz Salam,5,Tempat belanja cocok jenis celana pria murah terjangkau modelnya terbaru ,sebulan lalu
nailiafiy Nay,1,"Maaf ya saya kasih bintang 1 sebenernya enak belanja disini udah hampir 3 tahun belanja disini tapi baru tadi ketemu bapak parkir yang bikin males buat belanja disini lagi maaf ya kalo tidak ada kembalian harusnya adain qris kalo tidak sistem bayar parkir di kasir, saya juga mau bayar tadi tapi di tolak dengan muka kesal padahal saya ngasih uang loh padahal bapak parkir sebelumnya ramah ramah",sebulan lalu
Ely Seen,3,"Tadi saya beli santan dan tertera harga bundle sekitar 7k, waktu di kasir tiba2 discan 2 kali, saya tanya ke kasir kenapa, dijawab itu 2 gratis 1. Sedangkan harga santan satuannya cuma 4500, kalau discan 2 kali di barcode bundlenya ya jadi 15k. Saya kurang tau apakah dari kasir yg kurang paham atau pemberian harga yang tidak sesuai di raknya. Tolong diperbaiki, soalnya sedikit membuat lama dan malu soalnya.",sebulan lalu
Hendra Budiman,4,"Paling sepi diantara 7 Mirota
Karena konsumen terasa jauh untuk menjangkaunya sementara di dekat situ sudah ada pilihan tempat belanja",sebulan lalu
Bayuaw,5,Tempatnya lengkap,2 bulan lalu
Fitria Ika Suryani,5,Kumplit dan deket dari kos,2 bulan lalu
Purwati Jogja,5,Masih menjadi pilihan pertama untuk kebutuhan rumah tangga yang harganya relatif paling bersabahat dan lengkap. ,Diedit 2 bulan lalu
Herman Bento,3,"Overcrowded, hard to find a parking for motorcycle",2 bulan lalu
supri tkhong,5,Parkir mobil 2000rb Motor 1000 Joos tenan iki parkir diyogya masih ad parkir semurah ini. belanja kebutuhan rumah tangga semua ada.. murah dan slalu ad promo.. lanjutkn dan sukses slalu mirota kampus,2 bulan lalu
"Ayu ""EatswithAyu"" Voke",1,Gak di Simanjuntak gak dipalagan kalo lagi rame sama aja BOBROKNYA,2 bulan lalu
the Wulan,5,"Nyaman,dekat dari rumah, harganya murah,kang parkir nya ",2 bulan lalu
mysha abisha,1,"Harga yg dicantumkan sering gak sesuai
Pas dirumah cek nota kaget, yogurt di rak harga 16 rb pas dinota jd 48 ribu .
Kalo emng udah ga diskon harganya diperbarui.. jgn pasang harga yg gak sesuai..",2 bulan lalu
Bunda Rara,5,"Murah murah, kasirnya cepat dan ramah.
Termurah selama sy belanja di jogja",2 bulan lalu
Herry Siswanto,5,Komplit mantab ,Diedit 2 bulan lalu
Nippo Nippo,5,Kl mau nitip frozen food prosedurnya gmn ya kk??lwt sp kk?,2 bulan lalu
Dewi Oktavia,5,lengkapppp dan banyakk promoo,3 bulan lalu
Adi Setiawan,5,"Langganan, saya jualan chinese food. Sudah 4 tahun langganan di Manna Kampus. Harga nya murah banget. Kasir satpam parkir ramah..",3 bulan lalu
lisa irawati,5,"sahabat anak kost dan emak2 kaum mendang mending pencari promo 
harganya suka bikin kalap,
kemarinkesini  terakhir dilayani sama mba kasir yg lagi hamil ,mba nya ramah 
sehat2 ya mba",3 bulan lalu
Rahma Raihatul Syifa,5,Anak kost mesti belanja disini murahhh,3 bulan lalu
Hendro Prasetyo,5,Selalu antre,3 bulan lalu
Taufiq Yuliasta,5,"Barang lengkap dan terjangkau.
Cocok utk memenuhi kebutuhan RT.
Pelayan ramah",3 bulan lalu
Aruna Arinn,5,"Setiap bulan pasti belanja disini, pelayanannya bagus, kasirnya ramah2, tapi emang harus pinter2 pilih jam dan waktu sih biar nggak kejebak antrian kasir yang panjangg.",3 bulan lalu
Muhammad Arifin,4,Murah Lur ....,3 bulan lalu
Mamat Jog,2,"Owner yang terhormat, tegur tukang parkir mobil yg selatan, suruh matane liat2 jalur dari selatan kalo keadaan rame ya jangan ngeluarin mobil. Jelas2 tukang parkir cuma ngarepin uang.",Diedit 4 bulan lalu
Meta Mahayati,5,Cabang Mirota Kampus untuk area Jogja utara. Lokasinya dari hotel Hyatt ke Utara sekitar 300 m. Secara koleksi barang sedikit kurang lengkap dibandingkan Mirota Kampus Jln Simanjuntak atau Jln Godena. Tpi secara umum jenis barang dan promonya sama. Tetap menjadi destinasi andalan untuk belanja kebutuhan sehari-hari dengan harga yang cocok untuk kaum pekerja dgn gaji UMR Jogja. Dan satu lagi ini termasuk langganan mahasiswa yang ramai tapi bukan demo,4 bulan lalu
Susanna Indrati,4,langganan stiap bln blj dist,Diedit 4 bulan lalu
Hadi Esthree,5,Tempat Lebih murah,Diedit 4 bulan lalu
Arkan Alfatih,1,"Kang parkirnya songong, beda jauh sama yang di Godean ramah sekali",4 bulan lalu
Michaelindho Indho Junquies,5,Good super market,4 bulan lalu
Queenetha litaTV,1,Dari dulu aq pelanggan setia di Mirota Palagan Krn harganya cukup murah dibanding toko yg lain dan aq ada member lain jg tp udh beberapa bulan terakhir jd ngk nyaman belanja krn kebanyakan SPG dr luar yg mlh bikin ribet intinya tolonglah dikurangi SPG luarnya mending pakai pegawai asli dr pihak Mirota terimakasih,4 bulan lalu
Bagus Pandego (Yai),5,Tempat Pusat Belanja Anak Kos Yang Rekomended buat belanja bulanan sih oke sekali .,5 bulan lalu
ella fitria,5,Tempat belaja bulanan harga terjangkau,5 bulan lalu
Diah Putri,3,"hampir semua ada, barangnya lumayan lengkap. dari mulai skincare, alat sekolah, baju, sampai kebutuhan dapur. ada lantai 1 dan 2. uang parkirnya 1000, untuk pembayaran bisa pakai debit, cash, maupun qris. sangat tidak disarankan pakai qris soalnya nggak ada sinyal ",5 bulan lalu
Indriakade,2,Ga lengkap kecewa :(,5 bulan lalu
Kena Riyani,5,"Karyawan ,satpam ramah2, harga juga murah, untuk tukang parkir nya semoga bisa lebih sabar lagi",Diedit 5 bulan lalu
kangReview,5,"Murah, lengkap, ramai..

parkir motor 1.000, dikasi 2.000 dikembaliin 1.000 sama kang parkirnya.. amazing..

Overall recomended utk belanja..",5 bulan lalu
fika,1,"Dear owner, apakah ada papan info diarea parkir, lewat mana harusnya motor masuk dan dari mana motor harus keluar? jika tidak mohon tukang parkir bisa diedukasi utk lebih baik melayani konsumen,jika konsumen masuk dari row parkir yang tidak diharapkan harusnya bisa dibantu tidak diteriaki dan ditunjuk2, bukankah itu fungsinya tukang parkir?",5 bulan lalu
Dhea Nitria,4,"Tempat nya bagus, barang2 nya murah. Cuman kalo bisa harga Pampers nya di promoin dong. Biar bisa sekalian beli disitu. Ga melulu ketempat lain.",6 bulan lalu
chalphotocinema,5,"Parkir murah cuma seribu rupiah.
Tempatnya luas, lengkap dan pelayanan kasir nya cepat dan ramah",6 bulan lalu
desveva hendry,4,Tempat belanja kebutuhan pokok,Diedit 6 bulan lalu
Elisabeth Jeassye,1,"Kasirnya nyebelin banget, udah antri sesuai yg diminta malah nanya siapa yg deluan antri dan gak ada minta maafnya, gak ramah sama sekali dan cengengesan. MAKASIH",6 bulan lalu
Amanda Fatmala Putri (Manda),5,Tempat belanja bulanan dengan promo setiap harinya harganya murah meriah,6 bulan lalu
Saputri Makutanti,5,"Tiap bulan belanja disini. Harga murah n lengkap utk cari kebutuhan bulanan. Cuma sygnya parkirannya kurang luas. Terutama awal bulan pasti parkiran penuh, sampai bingung mo parkir dimana, meski bapak2 parkirny baik2 pasti bantu atur motor atau bantu mengeluarkn motor.",6 bulan lalu
"Hrmwwn ,",4,Mayan bebeli disini...,6 bulan lalu
Wahyu Wibowo,5,Tempat nya nyaman..,6 bulan lalu
Novianto Tw,5,Terbaikkkkk,Diedit 6 bulan lalu
Dodid Prakas,4,Semua ada..semua murah..semua kesini,7 bulan lalu
Mutia Putri Riana,5,Tempat belanja kebutuhan pokok yg dekat dgn kost,7 bulan lalu
Destiyana Prastiwi,5,Lengkap,7 bulan lalu
Dapur Adek,4,Parkiran ny ampuuun susaaah klo pas lg penuh,Diedit 7 bulan lalu
Kurnia Hidayati,3,Kalau memang antrinya udah panjang di kasir lantai 2 bisa buka 2 jalur/2 kasir biar lebih cepat..,7 bulan lalu
Abban Noor Imam Surya,5,Belanja bulanan. Lengkap murah.,Diedit 7 bulan lalu
Diah Nova Pratiwi,5,"Lengkap & Harga terjangkau
",Diedit 7 bulan lalu
Husnul Khotimah,5,"Parkiran luas, barang ""nya komplit pokoknya the best dehh",8 bulan lalu
Mohammad Solihin,5,"Jadi pusat belanja yang tidak begitu jauhdari rumah.
Mantap pokoknya.",Diedit 8 bulan lalu
Amy Rafiq,5,Tempat belanja super lengkap dekat kost,8 bulan lalu
ancella 17,5,Konter alat listrik di lantai 2 lengkap,8 bulan lalu
azizM Gugup,1,"Tukang parkir cuek, layanan kasir juga jutek!",8 bulan lalu
Dewi Ayu,5,"andalan buat belanja barang apapun, kebetulan tempatnya seberang kantor tempat aku kerja, jadi pas jam istirahat suka ke sini beli roti, buah slice, camilan, atau jajanan.. mirota ini ada 2 lantai, lantai 2nya khusus baju dan aksesorisc naiknya pake eskalator tapi turunnya pake tangga.. kalo lagi ada promo udah rahasia umum kalo mirota ini anjlok bangett harganya jadi suka bikin kalap, sayangnya pas momen lebaran antri kasirnya lama sekalii.. di depannya ada kue pukis yang wanginya semerbak sampe ke dalem, harganya cuma 5rb per pcs, ada tempat reparasi jam juga, pernah ganti baterai jam di sinii seharga 15rb",8 bulan lalu
Jimmy Suryaa,5,Ramai,8 bulan lalu
zaenal arifin,5,minimarket dengan produk lengkap dan harga murah,8 bulan lalu
Monique Mira Meliza,5,Murah terjangkau parkir mbl ssh,8 bulan lalu
Wahyu Catur Prasetyo,1,"baru kali ini kecewa pada layanan kasir lantai 2 atas nama Radhiya (orangnya pake masker & cocard-nya sudah rusak gambarnya). Saya yg antre duluan, tapi dia malah mengutamakan customer lain di belakang saya. Orangnya udah minta maaf setelah saya tegur, kalau ga saya tegur ya pasti ga bakalan minta maaf. Sorry, bintang satu bwt pelayanan Manna Kampus Palagan.",8 bulan lalu
Lana Kumala,3,"Semua OKE, kecuali tukang parkir yang asal mindahin motor jauh2. Dari yang ditempat teduh dipindah ke luar pagar yg jelas panas. Alasannya halangin jalan, padahal enggak. Kami pun liat sendiri kalau tukang parkirnya mindahin motor orang lain juga begitu, padahal di dalam masih ada ruang kosong untuk motor itu. Bukannya mempermudah malah bikin susah tukang parkirnya. Ketika ditegur nggak minta maaf malah membela diri. Nggak nyadar kalau yg lagi bicara itu konsumen.",9 bulan lalu
Seti anti,5,"Saya suka berbelanja disini ,hanya saja pelayanannya masih kurang ",9 bulan lalu
Amin Cahyono,5,"Belanja bulanan sering ke sini banyak promo,",9 bulan lalu
Aditya Rizqi Putra Ramadhan,3,"2 jam ngantri di kasir cuma maju 5 langkah , ngweriiii",9 bulan lalu
Diana Rodriguez,5,Rame bgt dan banyak promo menarik,9 bulan lalu
Ade Kusumastuti,5,Oke gass ,9 bulan lalu
Diah Purwaningsih,5,Langganan belanja bulanan,Diedit 10 bulan lalu
Ari Arifin,5,Parkiran terbatas. Diskon tertentu,10 bulan lalu
Esti Pangastuti,3,"SPG dan kasir nya Manna Kampus palagan ramah2, cuma sayang masalah di tukang parkir yg ga semua ramah2, sy kmrn kesana hujan deres..mau parkir susah, tukang parkir ga ada, cm 1 org..akhirnya sy keluar lg sndiri tanpa dibantu, sampai sy bilamg sy ga jd krna susah parkir dan sy nyindir dgn bilamg terima kasih tp tukang parkir diem aja, kya org bisu. Pdhal sy kalau parkir disitu sll bayar 2 rb. Mohon itu kepala dr manna kampus palagan utk beri sosialisasi atau training kepada tukang parkir spya punya adab dan tata krama sebagai org jawa, seperti tukang parkir di indogrosir, superindo. Mereka juga di gaji dr uang pelamggan..",10 bulan lalu
Awang5,5,"Affordable & reliable supermarket for daily needs, fresh products to the housewares. Lots of good deals and discounts for many products.

They have many local produce items too. Parking for motorbike is only 1,000 and the guard is very helpful.

They provide cartons or other non plastic packaging in case you need one.",10 bulan lalu
Bayu Eko Murtono,5,Komplit dan lumayan murah,10 bulan lalu
Safira Nissa Al Dieka,4,"Sekadar saran untuk pembeli, selalu siap backup debit atau cash karena jika pakai QRIS saja, sinyalnya benar-benar jelek. Padahal saya transaksi QRIS di mana-mana selalu lancar, bahkan di gedung sekalipun. Mohon perbaikannya.",10 bulan lalu
Bintang Alwie,5,Langganan belanja bulanan,10 bulan lalu
eri kusuma,4,"lumayan
parkir mobilnya turun ke bawah ga rebutan",10 bulan lalu
Indah H,5,"Belanja kebutuhan rumah g mahal. Lengkap, nyaman",Diedit 10 bulan lalu
Widiia. dp,4,"Pertama kali coba di cabang palagan, sebenernya 11/12 sama kaya yang lain. Memang engga se ramai yang di UGM, ataupun di Godean. Tapi ini cukup memuaskan, dari segi harga dan display barang juga cukup lengkap. Lalu dibagian harga untuk  setiap barang memang kurang lengkap ya, jadi harus cek harga dulu jika ingin tau harganya. Mungkin area parkir lebih diperbesar lagi, karena dirasa cukup sempit ya. Dan baru di Mirota sini, jika pembelian diatas dapat gratis piring. Semoga kedepannya lebih baik lagi",10 bulan lalu
Dimasagung,1,"Lagi rame ramenya pas mau keluar tukang parkir ada satu yang lirik lirikan sama saya, saya kira mau ngeluarin motor ternyata malah pergi nata motor. Giliran motor udah tak keluarin sendiri mau nyebrang tukang parkirnya yang tua nyamperin minta uang parkir tanpa bilang terimaksih langsung pergi",10 bulan lalu
Mbah Gunung,5,Pusat belanja murah,Diedit 10 bulan lalu
Ressie Cahyanie,5,"Setiap 2 minggu sekali pasti belanja disini. Murah, lengkap dan banyak promo. Kasir atas nama Nanda Widyasari sangat membantu dan rapi saat menata barang kedalam kardus. Terima kasih banyak.",10 bulan lalu
Ihsan Hernanta,1,"Rabu 29 Januari 2025
pukul 19.00

PELAYANAN BURUK. PELAYANAN BURUK. PELAYANAN TERBURUK yang pernah ada dari semua Departement Store.

Karena jarak jalan sempit, terpaksa keranjang kami tinggalkan sejenak karena memang tidak bisa lewat akibat ramainya pengunjung. Kami masuk ke salah satu kounter dan memilih belanjaan lalu kembali ke keranjang kami. Ternyata keranjang kami hilang. Keranjang yang telah terisi penuh barang belanjaan setelah kurasi penuh selama 90 menit berbelanja.

Semua barang kami dikembalikan ke posisi awal oleh petugas. dan dengan gampangnya kami diambilkan keranjang baru untuk diminta belanja kembali dari awal saat toko sudah akan tutup dan ac sudah dimatikan .. KONYOL SEKALI... SANGAT KONYOL....

PELAYANAN TERBURUK DAN PALING BURUK DARI YANG PALING BURUK. Akan saya pastikan di sisa umur saya, Saya keluarga, sanak saudara, dan semua orang yang berada dalam ruang lingkup saya tidak akan pernah menginjakkan kaki kembali ke tempat perbelanjaan terburuk yang pernah ada ini.",10 bulan lalu
Hendri Syahrial,5,Tempat belanja favorit. Belanja di sini bisa berhemat banyak karena murahnya. Alhamdulillah.,Diedit 10 bulan lalu
Catharina Titis,1,pelayanan kasir tidak menyenangkan dan tidak ramah sama sekali,10 bulan lalu
Theresia,5,Tempat belanja terbaik sejak kuliah....,10 bulan lalu
Miqdad Nashr,5,Tempat belanja bulanan favorit. Barang-barangnya lengkap dan banyak promo kalo pas weekend. Minusnya ya mesti antre lumayan pas waktu bayar karena yang Dateng banyak bangett,10 bulan lalu
shaquen Nurkhalisa,5,"Tempat belanja lngganan
Dari dulu
Belanja kebutuhan sehari-hari
Bisa pilih, ambil
Bayar k kasir
Mbk kasir nya ramah ramah busa kumpul kan poin untuk d tukar dengan ber mm acan hadiah menarik
Ada nomer undisn d setiap min belnja
Kapan ya saya bisa dapatkan hadiah  rumah,atuo motor dan hadiahlain nomer undian tersebut",11 bulan lalu
Shery Rizky,5,"Mirota Kampus Palagan, lokasinya strategis. Tempat parkir lumayan luas untuk parkir motor namun untuk mobil sepertinya tidak ada lahan khusus parkir mobil. Harga parkir bisa dibilang murah karena hanya Rp 1000 saja. Mirota Palagan lumayan lengkap, ada perabotan, kebutuhan dapur, rumah tangga, bahkan baju-baju dan peralatan sekolah yang ada di lantai dua. Toilet ada di luar tepatnya di dekat reparasi jam sebelah kanan. Ada dua atm yang berfungsi. Jika lapar ada pukis dan ada cilok di depan mirota. Tempatnya nyaman untuk berbelanja. Harga bersaing.",11 bulan lalu
Yeni Satyani,5,"Murah, bikin kalap",11 bulan lalu
wahyu lestari,1,"Tukang parkirnya di edukasi lagi.. udah tau space parkir sempit, bukannya dibantu malah cuman nunjuk2 aja trs ngeloyor pergi..
Akhirnya markirin motor sendiri meskipun dikasih space yg semput dan ga dibantu..
Untung ga nyenggol motor sebelahnya",11 bulan lalu
Bunga Vadila,1,kasir ra masuk blas,11 bulan lalu
rudi kusuma,5,"Lengkap, murah, pelayanan ramah",setahun lalu
lelly rachman,5,Barang murah sesuai kantong anak kampus,setahun lalu
Lingga Pratama,5,Salah satu tempat belanja berbagai kebutuhan. Dekat rumah jadi enak mau pergi ke tempat ini.,setahun lalu
yisa yisa,1,harga promo tpi dikasir tidak diupdate jadi rugi hampir 20rb. kalo mau belanja mending difoto misal ada promo kalo dikasih harganya beda bisa dicancel aja,setahun lalu
Mochtar Argie,3,"Mirota Palagan saya parkir motor depan ATM pada waktu keluar pak parkirnya diam saja tidak bantu utk membalikkan arah motor keluar dan saya mengeluarkan sendiri, sudah tau parkirnya sempit kenapa pak parkirnya tidak respon membantu,  pak parkir harap dibriefing lagi supaya tanggap kalau ada customer mau keluar apalagi kalau parkirnya depan ATM
Terimakasih",setahun lalu
Muhim mah,5,"Best,tempat belanja rutin tiap bulan.
No comment sih,sejauh ini puas sekali ",setahun lalu
Salsabila,4,Tempat belanja langganan. Murah lengkap cari apa aja ada. Sayangnya kalo pas tanggal gajian ramenya ampunnnn kaya pasar tumpah. Sampe susah jalan krn tempatnya sempit. Apalagi antrian kasirnya behhh. Parkir motor luas cuma bayar seribu pula. Tapi parkir mobilnya sempit dan agak susah,setahun lalu
Rahmawan Bro,3,Bagian kasir malah sering becandaan .. udah antri lama banget di tinggal geguyon.. mohon di tinjau itu sampe antri panjang banget .. udah nunggu 20 menit blm juga nyampe kasir,setahun lalu
Faath,5,"lengkap dan murah sekali
udah kayak harga di solo",setahun lalu
Abban Surya,5,Murah. Cukup lengkap,Diedit setahun lalu
Al kurniawati,5,"Tempat bersih, rapi, murah, banyak promo. Parkir juga 1k saja.",setahun lalu
Testa Cempluk,3,Tgl muda harusnya kasir yg diatas di tambahi dan di kasih patner buat yg packing barang belanjaan biar cepat,setahun lalu
NoSecret4Team Official,4,lahar parkir yg kurang memadai,setahun lalu
Aina Ul Mardiyah,5,swalayan yg murah d jogja sampai selalu penuh customer.  parkiran juga selalu penuh apalagi buat mobil sering ga kebagian tempat parkir. hehehhe,setahun lalu
Vitamin Buku,5,"Best place buat belanja, lengkap murah pelayanan cepat termasuk parkir yg excellent",setahun lalu
Ismawan Heru anggoro,4,"Tidak ada tempat duduk , sambil menunggi istri belanja.  kaki pegel lah. Coba.ada dental carex, drpd nunggu istri belanja kaki pegel, kan bisa rawat gigi.",Diedit setahun lalu
Gubuk Penceng,5,Mantab,setahun lalu
arif zulfikar,1,Satpam cew yg didepan tolong bisa ramah lagi minimal senyum,setahun lalu
Astomo Pancoro Putro,5,quite complete store for daily expenditure. the price is quite standard but much cheaper. but the parking lot too small however the parking fee is cheap,setahun lalu
Caka AP,5,Tempat belanja bulanan paking nyaman dibandingkan dengan cabang lainnya,setahun lalu
Syafira Sekar,4,Lengkap murah,setahun lalu
Joni Haryanto,5,"Belanja disini untuk keperluan rumah tangga komplit
Harga murah parkir mudah luas ada di samping Manna Kampus",setahun lalu
Ge MS,3,"Min mau nanya, manna kampus cabang ini masih ada produk odol merek antiplaque ga?",setahun lalu
Alif Imam S,5,Sarann aja tolong kaos bigsizenya di update lagi..,setahun lalu
Nava Arinda,1,Toko dan karyawan nya ramah dan recommend. Tp Tukang Parkirnya Judes. Ga sopan.,setahun lalu
Agung Basuki,5,"Salah satu pusat perbelanjaan yang lumayan komplit, parkir motor luas dan parkir mobil tersedia, jika kesini jangan hari Jum'at karena rame pol",setahun lalu
sherly endriyana,5,Murah,setahun lalu
Budi Sulistyowati,5,"Tidak terlalu luas tpi lengkap, parkir jg hanya 1000",setahun lalu
Abdul Basith,5,"Pagi ini, 19 September 2024, saat belanja sabun anak, tercium bau ikan asin digoreng  di lantai 1 maupun lantai 2 bagian belakang/barat. Saran: Agar dipertimbangkan lagi menu sarapannya. Kalau makan gereh, dirumah saja :)
---
Lebih murah dibandingkan yang *mart *mart, misalnya susu kotak untuk anak-anak dan juga kebutuhan sehari-hari",Diedit setahun lalu
Sofiana,5,Lengkap pilihannya.,setahun lalu
Ghani Purnomo,5,Dari semua Mirota ini salah satu yang cukup nyaman. Tidak sumpek.,setahun lalu
pramudiyanto wadjidi,4,"Not too big, but usually crowded supermarket",Diedit setahun lalu
Miftahul Huda,5,"Andalan ini mah, harga miring, terjangkau buat semua kalangan. Sukses selalu mirota",Diedit setahun lalu
Yuniar Rizky Suryani,5,harganya murah2 tapi emang antriannya banyak,setahun lalu
DION K,5,"Hindari hari-hari tanggal gajian 25 smp 1 minggu kedepan. Sumpek, rame, antrian panjang. So far harga paling ramah kalo dibandingkan sama komoditas tempat laen dengan barang sama.",setahun lalu
Fadlan Akmal,5,"Tempat belanja keluarga favorit sih dari jaman Mirota palagan sampai jadi Manna kampus palagan. Lumayan lengkap dan juga harga bersaing. Hari Jumat paling ramai karena biasanya ada promo-promo. Juga (mungkin) satu2nya toko yang parkir motornya 1000, mana pak parkir nya ramah, sregep dan helpfull banget. ",Diedit setahun lalu
Rita Suryandari,5,Tempat belanja ygmenyenangkan,setahun lalu
Julio Caesar Ibrahim,5,"Cukup lengkap, antrian kasir tidak terlalu panjang",setahun lalu
Agus Sugiarto,5,Lengkap murah,Diedit setahun lalu
R. Wahyu Ismoyo Jati,5,Andalan untuk belanja bulanan... Semoga fasilitas-fasilitas yg ada bisa ditingkatkan lagi khususnya parkiran motor...,setahun lalu
Ita Nizaar,5,Swalayan yg ramah kantong,setahun lalu
samsul maarif,5,Murah mudah dan manfaat,setahun lalu
Rizqidhiyaa Anggara Andiraputra,5,"Dekat rumah, semua lengkap disini, tempat parkir juga memadai.",setahun lalu
Gunawan Arintoko,5,Belanja kebutuhan sehari2 dengan harga terjangkau,setahun lalu
Borobudur Online,5,Menariiiikk baru sekali belanja disini dan ternyata banyak promo,setahun lalu
Dayat Mep,5,The good prices when you shop here,Diedit setahun lalu
Gilang Desti Parahita,3,"Murah, tapi sempit tokonya. Juga tempat parkirnya.",setahun lalu
adam Adam,5,Tempat belanja bulanan murah di Jogja,setahun lalu
Fery Suharjono,5,Murah meriah,setahun lalu
VIC,3,"Lengkap, murah, tp kasir yg paling kanan lama bgt, baru kali ini antri kasir sampe setengah jam ",Diedit setahun lalu
Christoper Dori,5,"Tempat belanja anak kos, Banyak diskonnnn!!!!! ",Diedit setahun lalu
Yudi Pria (Yudhi Pria FX),5,lengkap,setahun lalu
Miftahul Khas,5,Senang blanja disini. Sayang kadang sulit nyebrang mau parkir saking ramenya.,Diedit setahun lalu
aryo bimo,5,Mntap pelayanannya,setahun lalu
