nama_penulis,rating,teks_ulasan,waktu
Azzahra Nurhaliza,5,"Pelayanan nya ramah banget, terutama kasir atas nama Dhea restu, meski tiap bulan rame pol tapi tetap nyaman karna pelayanan nya ramah",2 bulan lalu
Berkah Gemilang,5,"Aq adalah org modern . Namun babagan makanan, aq suka yg kuno atau jadul2, krna pengin lebih sehat aja.

Sewaktu aq jalan2, mampirlah ke Mirota sekalian belanja kebutuhan wanita. Aq menemukan tape singkong MENTEGA MADU.

Gak asing dg nama itu, krna klu pas belanja di P*amella aq juga beli. Namun kemasannya mika. Yg ini besek.  Cuman aq heran juga, kok gak ditaruh di showcase atau pendingin. Jenis makanan ini kan tipe basah, lebih enak & awet jika dipendingin.

Klu di P*mella, sambil dorong trolly aja aq makan krna dr showcase. Enak, nyuss banget. Smpi dikasir tinggal wadahnya.  lsg bayar.

Karena aq penasaran dg yg besek, aq beli juga. Tapi 1 hr kemudian baru aq makan, krna aq suka dingin. Masuk dulu dikulkas.

Saran aja nih ya buat Mirota, besok lagi masuk di showcaselah ya,biar bisa lsg incip ditempat.",2 bulan lalu
Very Juanda,5,"Tukang parkir nya klk udah mulai penuh, penuh juga emosi nya wkwkw",2 bulan lalu
Yesyta nurhidayah,5,"Gesss.....seumur2 saya itu anti tape ya? Alias kagak doyan dg jenis makanan yg benyek2. Gak tau kenapa teman nawarin, lihat dr wadahnya yg jadul.... Berasa pengin incip.

Lhoh......sekalinya incip, kok pengin nambah. Aq tanya belinya dimana?? Katanya di Mirota Simanjuntak dapatnya.

Rasanya kyk orang ngidam, enak banget dimulut. Manisnya itu alami. Gak bikin serak dileher.

Aq tanya lagi, itu tape berasa ada madunya, manis2 gitu. Dianya bilang, beli aja disana kalau mau lagi. Itu tape namanya, tape singkong mentega madu.",2 bulan lalu
Muhda M,5,"Beli tape singkong mentega madu rasanya mantap, kualitas bagus, kemasannya juga unik bngetnext beli lagi dehh..",2 bulan lalu
fajar ardiyanta,5,"ada tape singkong mentega madu, enak ditunggu matang dulu ternyata , apalagi kalau dari pendingin apa digoreng enak juga",2 bulan lalu
Almas Kharisma,5,"Baru keinget, waktu itu beli tape di Mirota pas masih mentah. Jadinya belum bisa dimakan.

Begitu mateng, belum pengin makan. Akhirnya tak simpan dikulkas. Baru skrg inget lagi krna lapar dimalam hari. Nyesss..... Enak banget ternyata dinikmatin pas dingin.

Dinikmatin malam aja, endul banget. Apalagi kalau siang pas panas2nya. ",2 bulan lalu
Risna Nurhanisa,5,"This is the first place that comes to my mind when I need to do grocery shopping. The selection of household goods you can find in this supermarket is quite complete. It's not too crowded during office hours, but it can be hectic after office hours and on weekends.

It has a spacious parking area with some parking guys to help. So if you're bad at parking (like me hahaha), you don't need to worry.
The first floor is for general supplies like food (eggs, snacks, dairy, fruit, vegetables), health, personal care, etc.
On the second floor, you'll find wardrobe and beauty section including skincare and clothes
The third floor is for kitchenware, stationery, electronics, etc

Every place has its pros and cons. The cons are that there aren't too many meat and imported product choices. Also, be prepared to wait  more than 15 minutes to get through the checkout line

But hey, I still give it 5 stars because Mirota has been a lifesaver for me and holds good memories with my friends.",2 bulan lalu
Adelia Nafisa,1,parkirnya ga ramah,2 bulan lalu
Fatea,5,"Toko belanja kebutuhan masak terbaik dengan harga yang terjangkau untuk mahasiswa rantau. Tempatnya bersih, tertata, dan bahan makanan fresh selalu diganti dengan cepat.",2 bulan lalu
Nifa Ifa,5,"Sukaaa bgt belanja disini, selain banyak promo, kasirnya cekatan jd antrian ga terlalu nunggu lama. Best!!!",2 bulan lalu
Karjana Jono,5,"Belanjaan keperluan rumah tangga lengkap, hanya parkir yg kurang",2 bulan lalu
Amelia Ramadhanty,4,Apakah tarif parkir skrng dihitung perjam? Karena di nota parkir tertulis 1rb ttp setelah keluar diminta 2rb karena sudah lebih dari 1jam?,2 bulan lalu
Hamon Jalan Jalan,4,"Salah satu pusat perbelanjaan yang lengkap untuk mahasiswa disini ada jualan bahan makanan, ada baju juga, ada jualan oleh oleh, alat tulis kantor, pecah belah juga ada.",Diedit 2 bulan lalu
Febrina Katrin,5,Ramee,2 bulan lalu
Theolita Jane Adratika,5,"Cukup lengkap sih.. lantai bawah tempat belanja bulanan seperti bodycare, skinare, sayur, buah, dll. Di lantai atasnya ada pakaian, kosmetik, alat tulis, mainan anak, dan lain-lain.  Sekarang kasirnya banyak, jadi kalo belanja antriannya nggak terlalu panjang.",2 bulan lalu
Anarda Lovelytha Kamelia,1,"Teruntuk mbak kasir no. 12 tolong kalo lagi kerja kalo udah tau antri banyak lebih prioritaskan buat stay di meja kasir! Bukan customer nunggu kasir stay toh juga bukan istirahat malah cengingisan ngobrol sama kasir paling depannya. Tambahan buat monitor sebelum ngasirin belanjaan biasakan diNOLkan udah tau masih ada catatan belanja dari cust lain atau cek harga main trabas scan ajaa kalo saya gak komplain langsung apa saya suruh bayar ntah barangnya wujud apa mana habis itu dehemin customer emang saya gabisa berdeham. TERBURUK pelayanannya tolong ditingkatkan! SPV, Leader tolong monitor staf tersebut. Saya belum pernah mengalamin pelayanan sejelek ini. Masa pelayanan kalah dengan mirota menteri supeno yang ramah dan prioritaskan customernya",2 bulan lalu
ifa ikha,5,Lengkap,2 bulan lalu
Math AsikinAja,5,tempat belanja yang recommended,3 bulan lalu
Herwi Wijaya,5,Banyak promo nya,3 bulan lalu
Relita Perangin,1,"Lelet banget order online masa pesan dri pagi sampe malam blm diprose"" ",3 bulan lalu
i tajang,5,"Supermarket harga bersaing. Lengkap ada sayur-mayur, buah-buahan, daging, frozen food, roti2, obat2ringan, baju, alat tulis, dll. Kasirnya banyak. Karyawan mengemas belanjaan dgn rapi dan baik (melihat belanjaan yg berat dibawah dsusul benda2 yg lebih ringan di atasnya). Parkir motor 1rb.",3 bulan lalu
Zamzam Umroh Jogja,5,Lengkap dan murah,3 bulan lalu
Addin hsn,4,"Selalu ramee, andalan banget buat anak (mahasiswa) belanja disini. Lengkap, banyak diskon, to the point ( nggk perlu keliling jauh2, semua barang keperluan harian bisa di dapatkan di satu tempat).
Supermarket, freshmart, bakery, kosmetik, fashion ( di lantai 2 ) komplit. Parkir murah pula.
Minusnya kalau buat belanja bulanan skala rumah tangga, tentunya pakai troly, dan itu susah buat jalan karena space antar rak terlalu sempit. Apalagi kalau pas jam2 rame, auto tersendat2.",3 bulan lalu
Irma Fitriyani,3,Seminggu lalu belanja disini kepotong dua kali. Ada yg tau hubungi siapa untuk minta pengembalian dana?,3 bulan lalu
Java Nesia,1,"mau beli face wash di lt 2, udh berdiri di depan meja kosmetik tapi malah di cuekin sama mba' yg ada disitu. posisi ada dua mba'. udh kontak mata dan aku bilang mau cari face wash tapi mereka malah cuek. gatau ga denger atau gmn. mereka lagi mau anter barang ke kassa, ok aku tungguin. udh selesai balik nya lama, malah ngobrol' dulu. walaupun akhirnya di layanin tapi tolong untuk service ke customer di benahi lagi. service jelek bikin males mau beli.",3 bulan lalu
Liem Boenkok,5,"Produk cukup lengkap, harga bersaing.",3 bulan lalu
Alyvia Saharani,5,"Semua yang anda cari tersedia disini hihihi. Lengkap banget mulai dari kebutuhan bulanan, peralatan rumah tangga/kos, pakaian, jajanan, buah-buahan, dll (insyaaAllah semua ada). Tempatnya cukup luas tapi selalu ramai, meskipun kasirnya banyak tetep aja ngantri mengular, wajar, karena semua yang dijual disini harganya cenderung lebih murah dadi harga jual di toko-toko lain, jadi banyak orang berbondong-bondong ngeborong list belanjaan disini. Yang aku suka disini selalu banyak diskon, tempat bersih, parkir terjaga, AC dingin jadi betah lama-lama disini hihihi",3 bulan lalu
Di A,1,"Cuma mau ngasih tau kalo bayar parkir ke bapak2nya itu 2rb, dikasih 1rb gamauu..
Padahal kalo ke pintu masuk cuma 1rb",3 bulan lalu
afi nurlita kusuma d,1,"maaf, tukang parkir ga tanggung jawab telurku pecah pas dia mundurin motorku, gaada kata maaf/ngambil kresek belanjaanku yang jatuh malah langsung pergi tanpa ngucap apapun",3 bulan lalu
AYU BINTI HANA WAHYUNII,2,"Selalu belanja ke sini karena super lengkap, but hari ini entah kenapa kasirnya kurang komunikatif (di nota tertulisnya atas nama Merisa). Saya beli detergen yang jelas tertera gratis piring (saya tau karena kemarin juga belanja barang yang sama dan kasirnya yang kasih tau) but hari ini dengan kasir yang berbeda enggak dikasih tau + enggak ditanya mau ikut undian atau enggak, akhirnya saya inisiatif tanya sendiri ke konter obat apakah emang masih ada gratis piring dan ternyata masih. Sama kakak yang di konter obat super helpful langsung dicariin dan akhirnya dapet. Walaupun akhirnya dapet tapi sangat disayangkan aja untuk bagian kasirnya kalau ada apa apa customer tidak diberi tau ",3 bulan lalu
