nama_penulis,rating,teks_ulasan,waktu
AZ RI,3,"Mirota kampus Ndak ada rencana perluasan lahan parkir untuk mobil kah ? Mohon maaf saya menunggu untuk parkir mobil lumayan lama dari keluarga saya turunkan untuk berbelanja sampai selesai beli tetapi tidak dapat lahan parkir, tolong pertimbangkan lagi untuk membangun lahan parkir sendikit luas agar kenyaman pelanggan berbelanja di Mirota kampus, semoga kedepan semakin ramai",sebulan lalu
DIGTA AYU MAHARANI,5,"selalu langganan dari dulu karna murah lengkap semua ada,cuma saranku untuk kebutuhan baby lebih dilengkapi dong hehe
kasir nya beberapa ada yg kureng ramah ada yg super ramah,sayang nya kalo disini ga pernah sepi mau tgl tua muda",sebulan lalu
Dandi Prayogi,1,Saya sangat kecewa dengan pelayanan di mirota campus yg cenderung pegawainya banyak bergosip diwaktu bekerja dan saya gak sengaja dengar suka menggibah pembeli / customer yaitu saya pada saat 2minggu yg lalu belanja hanya menggunakan sandal jepit ditatap dg tatapan sinis oleh pegawai mirota campus yg memakai kacamata dan berhijab,sebulan lalu
Anindya,1,"bakal tak tandai deh mbak""nya yg di lantai 2 pakai batik bebas, pakai kacamata jilbab abu!!tanggal dan jam ada di nota transaksi!!!  gak ada itikad baiknya sama skali !!!! cuma karyawan aja belagak kayak owner Manna kampus!!!",sebulan lalu
PB Razter,1,"Parkiran selatan motornya berantakan bikin susah mau ke toilet, tukang parkirnya asyik ngobrol. Jam 14.40an tadi",sebulan lalu
Nurhaeni,5,"Belanja di sana memanjakan mata & kantong, bnyk promo lengkap, tapi siap"" sabar utk antri di kasir",sebulan lalu
Sari Setianingsih,5,Murah dan lengkap. Kalau awal bulan seringny rame. Selama puasa menjelang idul Fitri juga sangat rame.,sebulan lalu
nanda rafa,2,"apalah Aku tarik tunai di sana kata mesin nya eror terus saya ulang lagi malah uang saya yang hilang 100rb tanpa saya ketahui, dan pihak sana katanya ga tau kalo mesin nya eror",sebulan lalu
faveubcejej,5,"Pelayanannya baik dan barang lengkap. Saya sangat mengapresiasi Mirota Kampus Godean karena memberi kesempatan kerja bagi teman Tuli, ini merupakan hal yang patut diapresiasi. Tadi saya sempat menyaksikan situasi kurang nyaman, karena rekan Tuli yang sedang bekerja di bagian ikan tidak menyadari ada pelanggan memanggil. Perlu ditekankan bahwa hal tersebut bukan kesalahan beliau. Mungkin ke depannya bisa disediakan penanda atau pendamping agar komunikasi dengan pelanggan lebih lancar. Semangat terus untuk beliau, kerja keras dan dedikasinya sangat berharga",sebulan lalu
Charisa Aulia,5,harganya miring cocok utk beli kebutuhan,2 bulan lalu
Anita Poradita,3,"Dari segi apa sudah bagus. Tapi kemarin saya  ke Manna campus Godean minta tolong urgent karena kebetulan paket data habis dan anak saya telepon dadakan. Saya minta tolong staf untuk tolong disambungkan tetring atau wifi dengan alasan tidak boleh bawa hp atau sambungnya nanti ke wifi pusat. Sampai saya ke customer service juga tidak bisa bantu. Untung saja saya minta tolong sesama konsumen untuk menyambungkan tetring tidak ada semenit sehingga saya bisa membeli pulsa/data. Hanya itu saya pelayanan yg kurang. Padahal saya mamber. Boleh di cek di cctv pagi jam 10-11 an pada pagi 8/10/25 posisi kebingungan saya menghubungi staf dari tukang parkir, penitipan barang sampai customer service untuk minta bantuan tolong. Malah tanya tukang parkir bisa beli pulsa dimana saya ganti katanya wah mbak jauh.",2 bulan lalu
Herwanty Wantye,5,"Setiap belanja selalu kesini,meskipun kita jauh"" dr sewon,, pokoknya setiap bulan harus kesini,,biasanya klo belanjan sore diatas jam 5,kita selalu puas belanjan disini. cuma hari ini aja belanja tp agak kecewa,kita datang siang jam 2an, lebih banyak SPG/SPMnya dibanding yg belanja,mana kebanyakan para SPG/SPM menuhin depan rak belanja,jd susah mau milih,,ada juga SPG/SPM yg pd ngobrol gk jelas,ada konsumen mau lewat gk dikasih jalan, malah asik ngobrol setengah teriak",2 bulan lalu
Deswinta Manaf,5,"Mirota Godean menurutku salah satu tempat belanja yang cukup lengkap. Dari luar memang kelihatan kecil, tapi di dalam luas kok. Kebutuhan harian pun komplit, dari sembako, perlengkapan dapur, buah-buahan, sampai kebutuhan bayi. Salah satu yang bikin aku kaget, disini ada minyak telon habbie. Biasanya beli online, tapi ternyata disini udah ready stok. Kebutuhan bayi lain kayak popok, bedak bayi, lotion bayi, dan lain-lain juga ada, jadi bisa beli kebutuhan bayi dan rumah tangga sekaligus. Di Mirota Godean juga tersedia fasilitas tambahan, seperti ATM, mushola, dan toilet. Semuanya cukup bersih, walaupun memang gak besar-besar banget ukurannya. Parkirnya terjangkau, hanya seribu aja, parkirnya tersedia motor dan mobil dan cukup luas.",2 bulan lalu
Ira Widya Hapsari,1,"First time ke mirotaa buat beli kebutuhan kos habis nya gak dikit sih tapi pelayanan sama mba kasir Jumat,26 September 2025 jam 18.40 kasir arah keluar deket chatime mba jilbab pelayanan servicenya kureng sekaliii senyum gak ada, ramah 0 padahal belinya gak dikit tolong diperbaiki senyum ke pelanggannya.",2 bulan lalu
Marselina Purnomo,5,"Supermarket yang jarang sepi dan lengkap hampir semua ada ya mirota ini 

Jarang banget kesini dapet sepi kwkwkw ya gimana nggak rame kalo harganya aja 11-12 sama beli di pasar tradisional dan bumbu dapur sama sayurnya juga lumayan lengkap.

Alat elektroniknya juga lumayan bervariasi mulai dr dispenser, air fryer, dll.

Belanja disini memang menyenangkan!",2 bulan lalu
lintan rahma,1,"bapak bapak parkir nya kenapa jadi gitu ya? dari awal datang ga dibantu sama sekali padahal parkir padat sampe nyari2 celah sendiri, sampe pulang pun ga dibantu ngeluarin juga padahal dia dideket, gamau situ lagi mirota yg lain parkir nya normal",3 bulan lalu
Ayu Wandira,5,"Rumah belanja keluarga..
Selalu rame, ga pernah sepi..
Semua kebutuhan rumah ada disini..

Harga variatif terjangkau..

Penanganan komplain juga cepat.
Refund mudah.
Memang harus selalu sabar jika kesini karena antrian pasti full..",3 bulan lalu
Relita Perangin,1,Lelet bener kalo mesan dari apk mk serius dah order jam 11 pagi sampe malam blm ada update an pesanan,3 bulan lalu
Vita Agustin,1,"tukang parkir cuma ngeliatin, ga bantu ngeluarin motor, pdhl ngeliat kalo ada yg kesulitan ngeluarin motor",3 bulan lalu
Vincentius Krisna,3,Barang cukup lengkap. Usul agar buka Toko bisa lebih pagi bukan mengingat kegiatan pelanggan,3 bulan lalu
Putri,2,"Tolong dong dipertegas, klo ada yg nerobos antrian orng lain nggk usah dilayani , saran : sebaiknya ditengah"" perbatasan antara kasir yg 2 jalur dikasih rantai pembatas jalan",3 bulan lalu
Tri Ayu Handayani,1,"Barusan aku belanja kesana,mbk nya ga ramah sy minta tlng ambilin rinso krna mbknya lg bukain kardus rinso dan sy gabisa ambil,stlh di ambilin rinso sm mbk nya sy bilang MAKASIH MBK tp mbk nya cuma diem ga jawab samsek setidaknya jawab IYA atau SAMA SAMA dongggg",3 bulan lalu
Monica Puspitasari,1,"Mba spg kosmetik mandang rendah banget. Iya aku emang pake pakaian lusuh, ya namanya ibu ibu ya. awalnya mau beli foundi make over sekaliam beli keperluan anak. Terus pas lihat mbanya blg diskon 20% tapi masih diatas 100 mba, ada yang lebih murah. Kek mandang penampilan banget. Jadi ga mood bgt buat milih milih kosmetik disana",3 bulan lalu
Panggulu Villa,5,Harga murah banyak diskon mantap,3 bulan lalu
Ake Widyastomo,5,"Tempat belanja dengan pilihan produk yang lengkap. Lokasi cukup strategis dengan area yang luas. Berbagai kebutuhan tersedia disini dengan harga relatif lebih murah dibanding supermarket serupa. Area parkir memadai, anda dapat memilih parkir dekat Jalan Godean atau diarea belakang. Terdapat juga beberapa kios kuliner diarea belakang dan disetelah pintu masuk selatan.",3 bulan lalu
Heru Subianto,5,"Belanja di manna kampus godean pelayanan terbaik.khusus Satpam yg jaga pintu selatan langsung tanggap sigap waktu saya butuh pertolongan krn  badan lagi kurang fit pas antri dikasir,terimakasih pak,",3 bulan lalu
Indah Dwi puspitasari,1,"Dari dulu sering belanja disinii seneng seneng ajaa tapi baru tadii kejadian yang menurutku gaa wajar wkwk, belnja hari minggu tgl 17 agustus jam 8 mlm lantai 2 sama mba mba yang ga pakai krudung kurus, udah milih beberapa baju sekitar 5 baju kebetulan nyari kranjang baju ga ketemu yaudah saya bawa aja dengan tangan sayaa, waktu udah mau bayar tiba tiba pgn liat sandall tapi mba mba mirotaa ini bukanya nawarin kranjang baju malah nuduh saya mau coba baju baju tsb sontak saya kagett, karena mba mba ini negur dengan lantang ngga pakai kata maaf dengan nada tinggi klo kaos gabisa di coba wkwk,  siapa yang mau nyoba mba itu kaos buat ibu bapak sayaaa, aneh.  lagian saya kearah timur cuma untuk beliin sandal bapak saya juga, kok ya seenaknya bilang sepeti itu toh sandal juga saya beli ga cuma liat liat dan gaada niatan coba baju tsb minimal pake kata maaf atau tanya dulu jangan langsung seenaknya bicara, bikin ga mood belanja ajaa.",4 bulan lalu
Risa Arlinda,3,"1.Tukang parkir hanya liatin ga mau bantu pindahkan motor
2.untuk pembayaran self service yg di ujung kenapa ga di jalani lagi sayang banget karna sangat membantu mengurangi antrian yg hanya beli barang ga sampe 10 item",4 bulan lalu
Eka PEH,5,"Tujuan belanja paling utama saat pulang ke Yogya, disamping dekat dari rumah, lumayan lengkap dan yang paling utama karena murah harganya ",4 bulan lalu
isaac nope,3,"supermarket sebesar ini nyediakan temoat duduk buat pelanggan aja ga sanggup,masa tempat duduk udah miring jga masih dipake

mohon managementnya donk buat kenyamanan pelanggan jga",4 bulan lalu
Augusta D,1,"banyak item yg harganya di rak beda sama yg di struk nota, saran saya dirombak semua price tag item barang dan selalu update ketika ada perubahan harga.",4 bulan lalu
Yenri NV,1,"Parkirannya gak banget, kang parkir gak fungsi disini.",4 bulan lalu
hilmy milan,5,"This is a place that I like because firstly, the prices of the products here are very affordable, secondly the location is strategic, thirdly the products are quite complete",4 bulan lalu
Aditya Surya,4,"tempat berbelanja langganan, karena termasuk komplit dan harga lebih terjangkau. beberapa kali kesini alhamdulillah belum pernah kecewa",4 bulan lalu
Anistya Anom Sari,5,"Sotonya enak, tempatnya bersih, pelayanan oke.. ",5 bulan lalu
Agus Rahmadi,3,"Utk tempat seluas ini, dengan konsumen pengunjung ribuan orang/hari fasilitas toiletnya sedikit dan tidak memadai",5 bulan lalu
rudi firmansyah 123,4,"Tempat shoping dri jaman kuliah pas merantau,dari th 2001, ehhh skrg udah jadi orng jokja ,, pindah jokja lagi tahun 2018,, sampe skrg masih tiap belanja kensini..  ga sadar dah 2025 skrg,, cuma belum dapet hadiah rumah/mobil aja nih.. semogga dapet aamiin..",5 bulan lalu
Woody,2,"Untuk ibu yg bertugas di kasir lantai 2 bagian mengemas barang (11 Juli), sepertinya harus belajar menata barang lagi. Masa mie ditempatkan dipaling bawah ditimpa beras yg jelas jauh lebih berat. Alhasil remuk semua",5 bulan lalu
Bilqis Ghina,5,"Sangat lengkap,, pelayanan oke oleh cs egy dan lusi",5 bulan lalu
Agus ari,5,Tempat belanja paling lengkap semua rak tertata rapi dan mudah mencari barang parkiran luas,5 bulan lalu
Goofy August,1,"tgl 5 juli 2025
spg sakatonik hijab hitam yg bertugas shift sore di bagian konter obat tolong hospitalitynya diperbaiki.
posisi sepi ga ada yg beli samsek, saya udah nunggu depan etalase bukannya segera dilayani malah asik sendiri dan ngobrol sama temennya padahal udah liat saya ada disitu. selang beberapa saat baru nanya saya cari apa.. no senyum, no smiling voice, no ramah, mukanya jutek poolllll dan males2an ga sat set ..
begitupun pas saya balik buat nuker nota dengan obat tetep jalan santai no senyum, muka jutekk

anda ini sales lho mbak.. dan anda kerja di tempat yang mengutamakan pelayanan pelanggan. ga mungkin ga ditraining tentang service. paham?",5 bulan lalu
Aftermath,5,"Belanja paling lengkap di jogja. Dengan satu tempat smw kebutuhan keluarga bs terpenuhi.. Makanan minuman, sayur buah, daging, peralatan rumah tangga, sabun, dll.
Lengkap bgt pokok nya ditambah harga sangat murah, ad undian tiap tahun dengan hadiah utama rumah dan mobil
Brharap bgt t4 seperti ini bisa ada dipadang",5 bulan lalu
Arya Saputra,5,Bagus lengkap,5 bulan lalu
Ignatius Adhitya,5,"Disaat kelangkaan lemon di jogja, saya mendapat di tempat ini. Manna kampus sepertinya memang tempat yang lengkap untuj berbelanja.

Mulai dari bahan makanan, jajanan, appliances, obat, semua ada disini.

Tips supaya tidak terlalu ramai saat berkunjung: jangan datang di tanggal gajian. Pengunjung nya banyak sekali",5 bulan lalu
Ratna Lutfiyani,5,"Tempatnya nyaman bagus, lengkap, kariawannya ramah"" baget pokoknya mantulll cocok buat yang lagi cari"" kebutuhan pokok  buruan ayoo yang lagi di Jogja wajib mampir pokoknya harga juga sesuai dengan barangnya gak bakalan nyesel kalau mampir ke ""mirota kampus Godean"" terimakasih kampus Godean ",5 bulan lalu
yossi budiono,5,Pusat belanja yang lengkap dan harga relatif murah tempat nyaman parkir mobil cukup pelayanan ramah,5 bulan lalu
Fara Fahrunisa,1,Baru kali ini spv yg inchrg gaada konfrim apa2 tbtb ga acc pesanan saya. Nunggu 1/2 jm jd terbuang sia2. Minimal konfrimasi ya kalo ga di acc jd ga sia sia menunggu pesanan,5 bulan lalu
Rista Febriana,5,"Recommended buat belanja, sesuai nama nya Manna kampus, cocok buat mahasiswa",6 bulan lalu
Dian Tri Lestarini,5,"As someone who's new to living in Jogja, Manna Kampus really helps with all my household needs at more affordable prices. Their locations across different areas in Jogja are pretty strategic too. Overall, I enjoy shopping here!",6 bulan lalu
Bayu Setiadi,5,"Toko serba ada, andalan warga jogja, tempat luas dan bersih, ac sentral sejuk",6 bulan lalu
Yosi Brilianto,1,"Baru hari ini tadi Sabtu pagi saya ke Mirota, tapi mohon maaf ada salah satu juru parkir motor yang dipojok dekat gudang barang yang sedikit tidak mengenakan perilakunya. mohon diingatkan jika mengarahkan parkir yang jelas dan jangan menaikkan nada seenaknya ke customer yang kebingungan. Terima kasih",6 bulan lalu
Indah Awan,5,"Barang lengkap harga murah, deket dari rumah..",6 bulan lalu
Lucia Dwi K,5,"So pround bgt buat manna kampus, blm lama belanja disana aku tanya harga dan aku kaget ternyata yg aku tanya adalah karwayan berkebutuhan khusus (tuna wicara), disitu saya bener2 terharu. Trimkasih manna kampus kalian bisa menjadi berkat buat orang2 spesial, kalian benar2 luar biasa ... Banyak berkat untuk orang2 yg suka menabur berkat... Buat masnya, sehat2 ya damai sejahtera selalu untuk masnya....",6 bulan lalu
Titin Yolanda,2,"Kecewa sama pelayanan tukang parkirnya, diminta tolong dgn baik"" sopan bantu ngeluarin motor saya malah bapaknya dgn wajah yg gk iklas dan motor saya bukan dikeluarin dgn bener malah dimundurin aja seperti ngalangin jalan org sambil geleng"" kepala seperti org yg terpaksa bantuin haha mungkin karna plat motor saya bukan plat jogja kali ya karna plat motor luar pulau jadi gitu deh, kalo gk mau diminta tolong ngeluarin motor jgn jadi tukang parkir ya pak toh juga saya bayar parkirnya gk ngutang",6 bulan lalu
Rachma Falsafah Sholawati,5,"Manna Kampus Godean adalah destinasi belanja favorit mahasiswa di Yogyakarta. Lokasinya strategis di Jalan Godean KM 2,8, membuatnya mudah dijangkau dari berbagai penjuru kota. Dengan berbagai cabang yang tersebar di Yogyakarta, Manna Kampus menawarkan kenyamanan berbelanja kebutuhan sehari-hari dengan harga terjangkau. Produk yang tersedia mencakup bahan pokok, makanan ringan, peralatan rumah tangga, kosmetik, dan masih banyak lagi. Selain itu, Manna Kampus juga menyediakan layanan belanja online melalui aplikasi resmi mereka, memudahkan pelanggan untuk berbelanja kapan saja dan di mana saja.",6 bulan lalu
Herny Jakal,5,"Tempat strategis, harga terjangkau, barang sangat bervariasi. cukup bersih. semoga semakin sukses",6 bulan lalu
atinaa fauzyaa,5,belanja murah lengkap,6 bulan lalu
Tissa paramita,5,"Tempat belanja keperluan rumah tangga yang super lengkap, murah meriah dan penataanya sangat rapi dan satu lagi tempatnya itu luas. Jadi leluasa kalo mau milih milih. Terus  pelayanannya juga bagus. Dan disini pasti rame banget karena tujuan buat orang orang beli keperluan rumah tangga.yaa karena  Sering banget dapet diskon gitu. Parkir juga cukup luas untuk motor dan hanya bayar 1k aja",7 bulan lalu
galih anggi,5,"Tempat belanja andalan dari singgel sampai sudah berkeluarga. Wlpun belanjaannya banyak, tapi gak pernah ada miss di nota.",7 bulan lalu
ayu kumala,5,"Produk cukup lengkap,karyawan ramah,antri kasir cepat karena satu line ada 2 meja kasir,harganya murah,parkir motor dan mobil luas.",Diedit 7 bulan lalu
maulida uli,5,Kampus yang ga pernah kasih tugas.,7 bulan lalu
a syah,5,belanja murah lengkap nyari yg promo2,7 bulan lalu
Founder Apotek Rizki Banguntapan,5,"Lengkap, ruame, bersih, dingin, murah",7 bulan lalu
Pradnya Diajeng,1,"Ibu saya biasa belanja disini, tapi baru ini ada kejadian yg kurang mengenakkan dari kasirnya. Spt biasa kasir kanan kiri, saat kasir sebelah kiri kosong ibu saya pindah ke kiri dengan posisi antrian kosong, ibu saya pindah antrian ke kiri karna ibu saya liat kasir kosong dan karena sangat terburu-buru , agar cepat dan hanya membeli 1 item aja. Tapi kasirnya yg kiri itu menyalah nyalahkan ibu saya, disuruh kalo antri kanan ya kanan terus , aneh banget padahal di kiri itu kosong. Ibu saya benar2 kesal, dan kecewa. Kata ibu saya orangnya kurus tinggi, sebenernya di struk belanja ada namanya. Entah saya juga tidak tahu apakah orangnya memang seperti itu atau bagaimana. Padahal biasanya kalau kanan penuh, kiri kosong pasti kasirnya manggil untuk berpindah ke kiri.
Mungkin bisa di evaluasi lg terkait hal ini, untuk meningkatkan pelayanan.",7 bulan lalu
M JrWanto,5,"Tempat belanja nyaman, bersih, ramah, dan relatif lebih murah dr tempat belanja lain",7 bulan lalu
Selvi Yana,5,"Barang-barang nya murah"" poll++++mulai dari kebutuhan anak kos,rumah tangga. Sangat recommended buat yang cari perlengkapan. See you next time bakal ke Mirota lagi deh...",8 bulan lalu
kharisma adi,5,Minggu tanggql 13/4/2025. Indomie goreng sy 1 dos ketinggalan krn di letakkan di bawah troly. Mau ambil belum ada waktu. Apakah bs sy ambil hr Minggu tgl 20 /4/2025 yg akan datang. Nota sy simpan,8 bulan lalu
Dr. Epsi Euriga,2,"Best price in Yogyakarta to buy daily means..food..vegetables etc but parkirnya penuh banget..beberapa kali sudah ketolak masuk karena parkir penuh.... akhirnya ke mirota UGM, habis itu tempat solat dihilangkan ..disapponted banget.... laris tapi malah menghapuskan tempat ibadah...",Diedit 8 bulan lalu
Tia Aprilia,2,"datang ke mirota jalan godean tgl 7. karna ada pembangunan parkir sebelah timur memang parkir agak penuh. tapi sebenernya kalau dirapiin itu masih bisa muat beberapa lagi. saya datang sudah minta tolong dengan sopan ke bapak parkir tapi cuma direspon seadanya dan bilang situ2. maaf ya , saya itu bayar dan sudah minta tolong. akhirnya saya geser2 sendiri kendaraan disitu agar motor saya bisa parkir. barang ditokonya variatif tapi untuk tukang parkirnya mines. saya mau sampaikan komplain di cs malah diminta isi kusioner saja. tolong bisa jadi perhatian toko agar konsumen jauh lebih nyaman",8 bulan lalu
Yufita Irawati,1,"Biasa selalu belanja di sini, karna memang tiap bln belanja di manna kampus godean dan oke2 aja, antrian panjangpun tak ladeni dan bahkan ada yg nerobos tak biarin, trus kasir jg kalau rame selalu tau yg mana yg antri duluan dan selalu di panggil duluan even itu antrinya kanan atau kiri karna ada dua jalur antrian. Tapi kali ini gk tau deh kasir nya mau seolah2 mau tertib gitu tapi yg nerobos dan ganti2 tempat antri kiri kanan sebelum aku gk di tegur. Giliran pas aku coba kek mba2 sebelumnya di tegur...dongkol bngtt karna di depan bnyk orng anjirr seolah2 aku nerobos antrian astaga ... KECEWA BANGATTT, mungkin komplenan kek gini cuman di anggap biasa aja kali. Maaf sebelumnya gk berniat komplen tapi gimna yaa!! Sdh bertahun2 belanja disini tapi DIKECEWAKAN SAMA 1 KEJADIAN INI. bahkan ada 1 bapak2 yg notic kalau aku diterobos/sebelumnya dua mba2 main pindah kiri kanan antria fine aja dan di layanin baik sama kasirnya, Tapi ya sudahlah.. belanja di manna kampus murah2 guys . Cukup dan terakhir kalinya saya belanja di manna kampus godean. Terimakasih untuk kenyamanan dari sebelumnya ",8 bulan lalu
Radhika Adikrishna,5,"Supermarket yang jadi favorit untuk belanja bulanan,,dengan pilihan produk yang beragam dengan harga cukup bersaing dengan supermarket lain,,serta cukup banyak promo..parkirpun mudah dan murah,,",8 bulan lalu
mariaimelda taslulu,1,"bgus bngat harga murah gays,",8 bulan lalu
Siti Ngaisah,5,Kalo bisa kasir di temenin sama spg 1 biar ada yang paking biar antrinya gak panjang,8 bulan lalu
Nita Syafiana,5,Kesana kemarin siang ga terlalu lama antrinya.kasir gercep,8 bulan lalu
Rullian Febri,5,"Pelayanan sangat ramah untuk barangnya juga lengkap ada perlengkapan dapur, rumah, Snack, cake dan masih banyak lagi",8 bulan lalu
Galih Punto Aji,1,"Saya pelanggan di manna godean karena menurut saya paling nyaman untuk berbelanja namun baru kali ini nemu kasir judes jutek tanpa senyum sapa salam dari awal sampe akhir bahkan tanpa ucapan terimakasih sekalipun, ketika nominal muncul dikomputer tanpa disebutkan total nominal brp, bgitu juga saat saya melakukan pembayaran dgn kartu si kasir hanya input lalu menyodorkan mesin edc tanpa menyebutkan nominal atau sepatah kata apapun. Saya ga gila validasi atau gila hormat atau ucapan terimakasih. Saya gatau kasir ada masalah apa sampai dari awal sy datang sampai berakhir tanpa senyum dan ucapan terimakasih sama sekali. Terakhir saya ucapkan ""terimakasih ya mba."" Dan sama sekali tidak direspon oleh kasir tsb. Sy komplain ke petugas didekat eskalator lalu diarahkan ke customer service tapu saya ogah, sudah terlanjur KECEWA.",8 bulan lalu
Arda 82,1,"dari sekian banyak manna kampus dijogja,baru kali ini ngalamin pelayanan tidak memuaskan,nyoba2 di daerah godean eh kasir nya judes banget,gak ada senyum,gak ramah,pakacing nya tidak bagus,kecewa sih didaerah godean .orang juga udh senyum juga dibales dengan jutek,coustemer nya bilang makasih ke kasir gak disatuin juga",8 bulan lalu
Fitri Nara,1,Parkir susah,8 bulan lalu
Nur Cahyaningsih,4,"Menjelang lebaran, jadi makin sering ke sini buat belanja kebutuhan. Bahan pokok masih lebih murah dubanding beberapa tempat (khusus item yg aku beli). Pelayanannya ramah dan sudah mengurangi penggunaan kantong plastik juga.

Meskipun kadang ramai banget tapi masih jadi tempat tujuan buat belanja bahan pokok.",8 bulan lalu
Po and Nat,1,Masukan untuk bagian kasir dan paking Jangan karna sudah mau tutup jadi paking barang sembarangan jadinya pecah.,8 bulan lalu
Caroline Shierly,4,"Saya suka belanja dsini cuma sistem pembayaran parkirnya tidak bs memaklumi
kmren saya belanja dsna dan memang salah saya lupa ambil uang cash dan saya coba cari ternyata kurang 100 perak
Tapi sama yg menjaga parkir saya tdk boleh keluar bahkan cukup ketus klo saya harus bayar di kasir dengan QRIS
Sedangkan kondisi kasir sedang sangat antri panjang dan saya sudah bilang kalau sedang buru buru
Krna biasanya d tmpt lain klo sudah seperti itu dan tdk kurng banyak akan dimaklumi",8 bulan lalu
Ginanjar Nur P,5,"Manna Kampus Godean
Salah satu cabang mana kampus di jogja
Lokasinya cukup strategis
Persediaan barangnya cukup lah lemgkap disini
Mantap
Saat promo cukup rekomended ini
Murah murah juga
Untuk parkir kalau pakai mobil cukup ngantri disini
Parkir nya ga terlalu luas disini",9 bulan lalu
